trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-01-02T09:40:00-05:00,OKLO,BUY,BUY,4625,21.62,1.0,,
2,2025-01-02T09:45:00-05:00,OKLO,SELL,SELL,4625,21.35,1.0,-1249.749999999998,-1.249831239030535
3,2025-01-02T11:45:00-05:00,OKLO,BUY,BUY,4460,22.39,1.0,,
4,2025-01-02T12:20:00-05:00,OKLO,SELL,SELL,4460,22.58,1.0,846.3999999999899,0.8475832261837423
5,2025-01-03T09:35:00-05:00,OKLO,BUY,BUY,4282,23.34,1.0,,
6,2025-01-03T09:55:00-05:00,OKLO,SELL,SELL,4282,24.12,1.0,3338.960000000005,3.3408683039752356
7,2025-01-03T10:00:00-05:00,OKLO,BUY,BUY,4078,24.59,1.0,,
8,2025-01-03T10:10:00-05:00,OKLO,SELL,SELL,4078,24.3,1.0,-1183.6199999999965,-1.1803266525739846
9,2025-01-03T10:25:00-05:00,OKLO,BUY,BUY,4039,24.8,1.0,,
10,2025-01-03T11:05:00-05:00,OKLO,SELL,SELL,4039,25.33,1.0,2139.66999999999,2.1360771182870315
11,2025-01-06T09:30:00-05:00,OKLO,BUY,BUY,3526,28.47,1.0,,
12,2025-01-06T09:40:00-05:00,OKLO,SELL,SELL,3526,27.67,1.0,-2821.79999999999,-2.810943573729532
13,2025-01-13T15:55:00-05:00,OKLO,BUY,BUY,4375,22.88,1.0,,
14,2025-01-14T09:30:00-05:00,OKLO,SELL,SELL,4375,23.86,1.0,4286.500000000002,4.2821750032467225
15,2025-01-14T10:10:00-05:00,OKLO,BUY,BUY,4159,24.17,1.0,,
16,2025-01-14T10:30:00-05:00,OKLO,SELL,SELL,4159,23.78,1.0,-1623.0100000000023,-1.61454927742153
17,2025-01-14T13:40:00-05:00,OKLO,BUY,BUY,4206,23.86,1.0,,
18,2025-01-14T14:05:00-05:00,OKLO,SELL,SELL,4206,23.85,1.0,-43.05999999999163,-0.04290718178135914
19,2025-01-15T10:05:00-05:00,OKLO,BUY,BUY,3919,25.61,1.0,,
20,2025-01-15T10:10:00-05:00,OKLO,SELL,SELL,3919,25.27,1.0,-1333.4599999999994,-1.3285895236651952
21,2025-01-16T15:05:00-05:00,OKLO,BUY,BUY,4082,24.55,1.0,,
22,2025-01-16T15:15:00-05:00,OKLO,SELL,SELL,4082,24.28,1.0,-1103.1399999999983,-1.1007832231192998
23,2025-01-17T09:30:00-05:00,OKLO,BUY,BUY,3966,25.24,1.0,,
24,2025-01-17T09:50:00-05:00,OKLO,SELL,SELL,3966,25.05,1.0,-754.539999999991,-0.7537648282506181
25,2025-01-17T10:55:00-05:00,OKLO,BUY,BUY,3804,26.3,1.0,,
26,2025-01-17T11:15:00-05:00,OKLO,SELL,SELL,3804,26.1,1.0,-761.7999999999973,-0.7614482109265494
27,2025-01-17T11:35:00-05:00,OKLO,BUY,BUY,3737,26.75,1.0,,
28,2025-01-17T11:45:00-05:00,OKLO,SELL,SELL,3737,26.06,1.0,-2579.5300000000047,-2.5804137917236702
29,2025-01-21T11:20:00-05:00,OKLO,BUY,BUY,3291,30.29,1.0,,
30,2025-01-21T11:55:00-05:00,OKLO,SELL,SELL,3291,30.69,1.0,1315.400000000007,1.3195514407878697
31,2025-01-21T15:25:00-05:00,OKLO,BUY,BUY,3197,31.23,1.0,,
32,2025-01-21T15:50:00-05:00,OKLO,SELL,SELL,3197,31.02,1.0,-672.3700000000027,-0.6734251899301043
33,2025-01-22T09:30:00-05:00,OKLO,BUY,BUY,3019,33.04,1.0,,
34,2025-01-22T09:35:00-05:00,OKLO,SELL,SELL,3019,32.35,1.0,-2084.1099999999933,-2.0893593063211946
35,2025-01-22T10:30:00-05:00,OKLO,BUY,BUY,2900,34.33,1.0,,
36,2025-01-22T10:55:00-05:00,OKLO,SELL,SELL,2900,33.91,1.0,-1219.000000000005,-1.22441190060066
37,2025-01-22T13:40:00-05:00,OKLO,BUY,BUY,2877,34.56,1.0,,
38,2025-01-22T13:50:00-05:00,OKLO,SELL,SELL,2877,33.99,1.0,-1640.8900000000008,-1.6502946994331302
39,2025-01-22T14:45:00-05:00,OKLO,BUY,BUY,2843,34.92,1.0,,
40,2025-01-22T14:50:00-05:00,OKLO,SELL,SELL,2843,34.62,1.0,-853.9000000000121,-0.8601051425403553
41,2025-01-23T09:35:00-05:00,OKLO,BUY,BUY,2741,36.19,1.0,,
42,2025-01-23T09:45:00-05:00,OKLO,SELL,SELL,2741,35.94,1.0,-686.25,-0.6917996862631719
43,2025-01-23T11:35:00-05:00,OKLO,BUY,BUY,2484,39.9,1.0,,
44,2025-01-23T11:40:00-05:00,OKLO,SELL,SELL,2484,39.07,1.0,-2062.7199999999957,-2.0811884664512847
45,2025-01-24T09:30:00-05:00,OKLO,BUY,BUY,2449,40.39,1.0,,
46,2025-01-24T09:50:00-05:00,OKLO,SELL,SELL,2449,39.73,1.0,-1617.340000000009,-1.635062276508861
47,2025-01-24T10:10:00-05:00,OKLO,BUY,BUY,2364,41.77,1.0,,
48,2025-01-24T10:35:00-05:00,OKLO,SELL,SELL,2364,40.52,1.0,-2956.0,-2.9935608061468857
49,2025-01-28T14:20:00-05:00,OKLO,BUY,BUY,3030,32.49,1.0,,
50,2025-01-28T14:55:00-05:00,OKLO,SELL,SELL,3030,33.34,1.0,2574.500000000004,2.61514723344951
51,2025-01-28T15:50:00-05:00,OKLO,BUY,BUY,2926,33.73,1.0,,
52,2025-01-29T09:40:00-05:00,OKLO,SELL,SELL,2926,35.59,1.0,5441.360000000019,5.513309795493164
53,2025-01-29T09:50:00-05:00,OKLO,BUY,BUY,2676,37.09,1.0,,
54,2025-01-29T10:25:00-05:00,OKLO,SELL,SELL,2676,37.23,1.0,373.6399999999825,0.37644891119576074
55,2025-01-30T09:30:00-05:00,OKLO,BUY,BUY,2627,37.8,1.0,,
56,2025-01-30T09:45:00-05:00,OKLO,SELL,SELL,2627,39.61,1.0,4753.870000000006,4.7873045348715495
57,2025-01-30T14:45:00-05:00,OKLO,BUY,BUY,2439,40.9,1.0,,
58,2025-01-30T15:15:00-05:00,OKLO,SELL,SELL,2439,41.53,1.0,1535.5700000000063,1.5393244122414633
59,2025-02-03T14:10:00-05:00,OKLO,BUY,BUY,2185,45.72,1.0,,
60,2025-02-03T14:55:00-05:00,OKLO,SELL,SELL,2185,46.79,1.0,2336.9500000000007,2.3393080224866676
61,2025-02-05T09:30:00-05:00,OKLO,BUY,BUY,2102,47.64,1.0,,
62,2025-02-05T09:35:00-05:00,OKLO,SELL,SELL,2102,46.51,1.0,-2376.260000000005,-2.372931252039644
63,2025-02-05T10:40:00-05:00,OKLO,BUY,BUY,2028,49.25,1.0,,
64,2025-02-05T10:55:00-05:00,OKLO,SELL,SELL,2028,52.19,1.0,5961.319999999995,5.968482178614332
65,2025-02-05T14:15:00-05:00,OKLO,BUY,BUY,1974,50.92,1.0,,
66,2025-02-05T14:40:00-05:00,OKLO,SELL,SELL,1974,50.68,1.0,-474.7600000000039,-0.47231773943294403
67,2025-02-06T09:30:00-05:00,OKLO,BUY,BUY,1934,51.95,1.0,,
68,2025-02-06T09:35:00-05:00,OKLO,SELL,SELL,1934,50.06,1.0,-3656.260000000001,-3.639072659827635
69,2025-02-07T09:45:00-05:00,OKLO,BUY,BUY,1721,58.15,1.0,,
70,2025-02-07T10:00:00-05:00,OKLO,SELL,SELL,1721,55.97,1.0,-3752.7799999999993,-3.7498869622086555
71,2025-02-10T10:35:00-05:00,OKLO,BUY,BUY,1773,56.23,1.0,,
72,2025-02-10T10:45:00-05:00,OKLO,SELL,SELL,1773,55.45,1.0,-1383.9399999999894,-1.3881490066029103
73,2025-02-12T10:20:00-05:00,OKLO,BUY,BUY,1870,53.24,1.0,,
74,2025-02-12T10:50:00-05:00,OKLO,SELL,SELL,1870,53.04,1.0,-375.00000000000534,-0.3766580487305171
75,2025-02-12T12:05:00-05:00,OKLO,BUY,BUY,1824,54.58,1.0,,
76,2025-02-12T12:10:00-05:00,OKLO,SELL,SELL,1824,53.85,1.0,-1332.5199999999943,-1.3384772947434385
77,2025-02-12T12:35:00-05:00,OKLO,BUY,BUY,1815,54.77,1.0,,
78,2025-02-12T12:55:00-05:00,OKLO,SELL,SELL,1815,54.78,1.0,17.14999999999639,0.01725203717386119
79,2025-02-13T14:35:00-05:00,OKLO,BUY,BUY,1865,53.3,1.0,,
80,2025-02-13T14:55:00-05:00,OKLO,SELL,SELL,1865,53.27,1.0,-56.94999999998887,-0.057290592572834365
81,2025-02-13T15:10:00-05:00,OKLO,BUY,BUY,1849,53.77,1.0,,
82,2025-02-13T15:30:00-05:00,OKLO,SELL,SELL,1849,53.81,1.0,72.95999999999842,0.07338435973704985
83,2025-02-13T15:35:00-05:00,OKLO,BUY,BUY,1833,54.23,1.0,,
84,2025-02-13T15:45:00-05:00,OKLO,SELL,SELL,1833,55.17,1.0,1722.0200000000088,1.7323344928036106
85,2025-02-14T10:05:00-05:00,OKLO,BUY,BUY,1743,57.13,1.0,,
86,2025-02-14T10:10:00-05:00,OKLO,SELL,SELL,1743,55.81,1.0,-2301.7600000000007,-2.31150089592552
87,2025-02-18T09:30:00-05:00,OKLO,BUY,BUY,1834,54.17,1.0,,
88,2025-02-18T09:45:00-05:00,OKLO,SELL,SELL,1834,53.14,1.0,-1890.020000000002,-1.9024088670238346
89,2025-02-25T14:45:00-05:00,OKLO,BUY,BUY,3117,31.81,1.0,,
90,2025-02-25T14:55:00-05:00,OKLO,SELL,SELL,3117,31.58,1.0,-717.9100000000013,-0.7240443206982532
91,2025-02-25T15:15:00-05:00,OKLO,BUY,BUY,3090,32.07,1.0,,
92,2025-02-25T15:20:00-05:00,OKLO,SELL,SELL,3090,32.69,1.0,1914.799999999992,1.9322423517088678
93,2025-02-26T09:30:00-05:00,OKLO,BUY,BUY,2909,34.13,1.0,,
94,2025-02-26T09:50:00-05:00,OKLO,SELL,SELL,2909,35.46,1.0,3867.9699999999953,3.895818479235111
95,2025-02-26T09:55:00-05:00,OKLO,BUY,BUY,2807,35.51,1.0,,
96,2025-02-26T10:20:00-05:00,OKLO,SELL,SELL,2807,35.85,1.0,953.3800000000095,0.9564639266386707
97,2025-02-28T15:50:00-05:00,OKLO,BUY,BUY,2975,33.53,1.0,,
98,2025-03-03T09:30:00-05:00,OKLO,SELL,SELL,2975,34.45,1.0,2736.000000000005,2.7427815273263194
99,2025-03-04T14:00:00-05:00,OKLO,BUY,BUY,3161,31.65,1.0,,
100,2025-03-04T14:25:00-05:00,OKLO,SELL,SELL,3161,31.81,1.0,504.76000000000045,0.5045246392557876
101,2025-03-05T14:05:00-05:00,OKLO,BUY,BUY,3297,30.36,1.0,,
102,2025-03-05T14:25:00-05:00,OKLO,SELL,SELL,3297,30.42,1.0,196.8200000000075,0.19662746238883633
103,2025-03-07T14:20:00-05:00,OKLO,BUY,BUY,3751,26.69,1.0,,
104,2025-03-07T14:25:00-05:00,OKLO,SELL,SELL,3751,26.39,1.0,-1126.3000000000027,-1.1250041077682644
105,2025-03-11T09:40:00-04:00,OKLO,BUY,BUY,3960,25.25,1.0,,
106,2025-03-11T09:55:00-04:00,OKLO,SELL,SELL,3960,25.1,1.0,-594.9999999999943,-0.595053554819928
107,2025-03-11T11:05:00-04:00,OKLO,BUY,BUY,3838,26.04,1.0,,
108,2025-03-11T11:20:00-04:00,OKLO,SELL,SELL,3838,25.77,1.0,-1037.2599999999984,-1.0378565599506582
109,2025-03-12T09:30:00-04:00,OKLO,BUY,BUY,3657,27.3,1.0,,
110,2025-03-12T09:40:00-04:00,OKLO,SELL,SELL,3657,26.87,1.0,-1573.5099999999989,-1.5760774301336866
111,2025-03-14T09:30:00-04:00,OKLO,BUY,BUY,3859,25.83,1.0,,
112,2025-03-14T09:50:00-04:00,OKLO,SELL,SELL,3859,25.87,1.0,153.36000000001042,0.1538539172304955
113,2025-03-14T14:30:00-04:00,OKLO,BUY,BUY,3659,27.25,1.0,,
114,2025-03-14T14:45:00-04:00,OKLO,SELL,SELL,3659,27.05,1.0,-732.7999999999975,-0.734940514247744
115,2025-03-14T15:50:00-04:00,OKLO,BUY,BUY,3604,27.64,1.0,,
116,2025-03-17T09:30:00-04:00,OKLO,SELL,SELL,3604,28.35,1.0,2557.840000000003,2.5677113093576978
117,2025-03-17T09:35:00-04:00,OKLO,BUY,BUY,3442,29.02,1.0,,
118,2025-03-17T10:00:00-04:00,OKLO,SELL,SELL,3442,29.17,1.0,515.3000000000073,0.5158786094483647
119,2025-03-19T14:55:00-04:00,OKLO,BUY,BUY,3571,27.98,1.0,,
120,2025-03-19T15:20:00-04:00,OKLO,SELL,SELL,3571,27.84,1.0,-500.94000000000204,-0.5013532153200688
121,2025-03-20T09:45:00-04:00,OKLO,BUY,BUY,3482,28.68,1.0,,
122,2025-03-20T09:55:00-04:00,OKLO,SELL,SELL,3482,28.43,1.0,-871.5,-0.8726802127196821
123,2025-03-20T10:15:00-04:00,OKLO,BUY,BUY,3423,29.15,1.0,,
124,2025-03-20T10:25:00-04:00,OKLO,SELL,SELL,3423,28.73,1.0,-1438.6599999999937,-1.441811078111206
125,2025-03-24T09:30:00-04:00,OKLO,BUY,BUY,3347,29.77,1.0,,
126,2025-03-24T09:45:00-04:00,OKLO,SELL,SELL,3347,30.83,1.0,3546.8199999999956,3.55959217267477
127,2025-03-25T15:50:00-04:00,OKLO,BUY,BUY,3488,28.67,1.0,,
128,2025-03-26T09:35:00-04:00,OKLO,SELL,SELL,3488,29.64,1.0,3382.359999999996,3.382293707043338
129,2025-04-07T09:45:00-04:00,OKLO,BUY,BUY,5037,19.92,1.0,,
130,2025-04-07T09:55:00-04:00,OKLO,SELL,SELL,5037,21.39,1.0,7403.389999999994,7.378447894736626
131,2025-04-07T10:10:00-04:00,OKLO,BUY,BUY,4465,22.64,1.0,,
132,2025-04-07T10:20:00-04:00,OKLO,SELL,SELL,4465,21.22,1.0,-6341.3000000000075,-6.2730119914609626
133,2025-04-08T09:30:00-04:00,OKLO,BUY,BUY,4384,22.91,1.0,,
134,2025-04-08T09:45:00-04:00,OKLO,SELL,SELL,4384,22.29,1.0,-2719.0800000000045,-2.7072105062563736
135,2025-04-09T13:30:00-04:00,OKLO,BUY,BUY,4365,22.95,1.0,,
136,2025-04-09T13:55:00-04:00,OKLO,SELL,SELL,4365,23.99,1.0,4538.599999999997,4.53054695279141
137,2025-04-11T13:50:00-04:00,OKLO,BUY,BUY,4427,22.73,1.0,,
138,2025-04-11T14:05:00-04:00,OKLO,SELL,SELL,4427,22.67,1.0,-266.6199999999943,-0.26495947248995255
139,2025-04-14T09:30:00-04:00,OKLO,BUY,BUY,4252,23.66,1.0,,
140,2025-04-14T09:40:00-04:00,OKLO,SELL,SELL,4252,23.08,1.0,-2467.160000000008,-2.4523643951313017
141,2025-04-15T09:30:00-04:00,OKLO,BUY,BUY,4287,23.41,1.0,,
142,2025-04-15T09:40:00-04:00,OKLO,SELL,SELL,4287,23.17,1.0,-1029.8799999999933,-1.0261891056437247
143,2025-04-15T09:45:00-04:00,OKLO,BUY,BUY,4273,23.46,1.0,,
144,2025-04-15T10:00:00-04:00,OKLO,SELL,SELL,4273,23.39,1.0,-300.1100000000012,-0.2993747953775131
145,2025-04-15T15:50:00-04:00,OKLO,BUY,BUY,4371,22.93,1.0,,
146,2025-04-16T09:30:00-04:00,OKLO,SELL,SELL,4371,21.83,1.0,-4809.100000000006,-4.798158758582809
147,2025-04-17T15:40:00-04:00,OKLO,BUY,BUY,4546,21.94,1.0,,
148,2025-04-21T09:30:00-04:00,OKLO,SELL,SELL,4546,21.15,1.0,-3592.3400000000124,-3.6016957649189654
149,2025-04-21T15:40:00-04:00,OKLO,BUY,BUY,4872,20.4,1.0,,
150,2025-04-22T09:30:00-04:00,OKLO,SELL,SELL,4872,20.77,1.0,1801.6400000000049,1.8127011021251729
151,2025-04-22T09:45:00-04:00,OKLO,BUY,BUY,4652,21.4,1.0,,
152,2025-04-22T10:05:00-04:00,OKLO,SELL,SELL,4652,21.41,1.0,45.52000000000727,0.0457240205798345
153,2025-04-23T10:00:00-04:00,OKLO,BUY,BUY,4271,23.31,1.0,,
154,2025-04-23T10:40:00-04:00,OKLO,SELL,SELL,4271,23.7,1.0,1664.6900000000023,1.672080428284979
155,2025-04-28T15:00:00-04:00,OKLO,BUY,BUY,4194,23.78,1.0,,
156,2025-04-28T15:30:00-04:00,OKLO,SELL,SELL,4194,24.15,1.0,1550.7799999999893,1.5549110877779977
157,2025-04-28T15:45:00-04:00,OKLO,BUY,BUY,4128,24.2,1.0,,
158,2025-04-28T15:50:00-04:00,OKLO,SELL,SELL,4128,24.49,1.0,1196.1199999999965,1.1973340967741255
159,2025-04-28T15:55:00-04:00,OKLO,BUY,BUY,4079,24.52,1.0,,
160,2025-04-29T09:30:00-04:00,OKLO,SELL,SELL,4079,24.06,1.0,-1877.3400000000036,-1.8770006382846018
161,2025-04-29T13:45:00-04:00,OKLO,BUY,BUY,4064,24.56,1.0,,
162,2025-04-29T13:50:00-04:00,OKLO,SELL,SELL,4064,24.38,1.0,-732.5199999999988,-0.7338935551778698
163,2025-04-29T15:50:00-04:00,OKLO,BUY,BUY,4080,24.45,1.0,,
164,2025-04-30T09:30:00-04:00,OKLO,SELL,SELL,4080,23.01,1.0,-5876.199999999991,-5.890513948895808
165,2025-04-30T15:55:00-04:00,OKLO,BUY,BUY,4179,23.73,1.0,,
166,2025-05-01T09:30:00-04:00,OKLO,SELL,SELL,4179,25.13,1.0,5849.599999999994,5.898637140137096
167,2025-05-01T09:50:00-04:00,OKLO,BUY,BUY,3913,25.49,1.0,,
168,2025-05-01T09:55:00-04:00,OKLO,SELL,SELL,3913,24.91,1.0,-2270.539999999993,-2.276381878815598
169,2025-05-01T10:15:00-04:00,OKLO,BUY,BUY,3863,25.76,1.0,,
170,2025-05-01T11:30:00-04:00,OKLO,SELL,SELL,3863,26.73,1.0,3746.1099999999956,3.7644852051835374
171,2025-05-01T13:55:00-04:00,OKLO,BUY,BUY,3791,26.35,1.0,,
172,2025-05-01T14:00:00-04:00,OKLO,SELL,SELL,3791,26.12,1.0,-872.9300000000017,-0.8738575998422341
173,2025-05-01T15:10:00-04:00,OKLO,BUY,BUY,3742,26.67,1.0,,
174,2025-05-01T15:50:00-04:00,OKLO,SELL,SELL,3742,26.47,1.0,-749.4000000000107,-0.7509007502394393
175,2025-05-08T11:50:00-04:00,OKLO,BUY,BUY,3625,27.51,1.0,,
176,2025-05-08T12:05:00-04:00,OKLO,SELL,SELL,3625,27.4,1.0,-399.7500000000108,-0.40085334884270035
177,2025-05-09T14:35:00-04:00,OKLO,BUY,BUY,3692,27.0,1.0,,
178,2025-05-09T15:00:00-04:00,OKLO,SELL,SELL,3692,26.98,1.0,-74.83999999999843,-0.07507649094647983
179,2025-05-09T15:05:00-04:00,OKLO,BUY,BUY,3523,28.29,1.0,,
180,2025-05-09T15:10:00-04:00,OKLO,SELL,SELL,3523,28.09,1.0,-705.5999999999975,-0.7079598425431466
181,2025-05-12T09:30:00-04:00,OKLO,BUY,BUY,3411,29.2,1.0,,
182,2025-05-12T09:55:00-04:00,OKLO,SELL,SELL,3411,29.09,1.0,-376.20999999999805,-0.3777125404860516
183,2025-05-13T09:35:00-04:00,OKLO,BUY,BUY,3222,30.9,1.0,,
184,2025-05-13T09:55:00-04:00,OKLO,SELL,SELL,3222,30.72,1.0,-580.9599999999991,-0.5835228322793702
185,2025-05-13T10:55:00-04:00,OKLO,BUY,BUY,3153,31.56,1.0,,
186,2025-05-13T11:25:00-04:00,OKLO,SELL,SELL,3153,31.65,1.0,282.7699999999995,0.2841633095393328
187,2025-05-14T09:30:00-04:00,OKLO,BUY,BUY,2689,37.01,1.0,,
188,2025-05-14T09:45:00-04:00,OKLO,SELL,SELL,2689,38.4,1.0,3736.7100000000014,3.7546991390450803
189,2025-05-15T13:05:00-04:00,OKLO,BUY,BUY,2725,36.67,1.0,,
190,2025-05-15T13:40:00-04:00,OKLO,SELL,SELL,2725,36.75,1.0,216.99999999999534,0.21715906901805104
191,2025-05-15T15:55:00-04:00,OKLO,BUY,BUY,2668,37.45,1.0,,
192,2025-05-16T09:35:00-04:00,OKLO,SELL,SELL,2668,38.67,1.0,3253.959999999997,3.256643474222756
193,2025-05-16T09:40:00-04:00,OKLO,BUY,BUY,2519,39.8,1.0,,
