timestamp,symbol,action,quantity,price,commission,pnl
2024-09-16T11:50:00-04:00,SPY,BUY,169,561.33,1.0,
2024-09-16T12:00:00-04:00,SPY,SELL,169,560.89,1.0,-75.36000000000922
2024-09-16T12:05:00-04:00,SPY,BUY,169,561.17,1.0,
2024-09-16T12:10:00-04:00,SPY,SELL,169,560.82,1.0,-60.14999999998463
2024-09-16T12:25:00-04:00,SPY,BUY,168,561.39,1.0,
2024-09-16T14:50:00-04:00,SPY,SELL,168,562.08,1.0,114.92000000000917
2024-09-16T14:55:00-04:00,SPY,BUY,168,562.7,1.0,
2024-09-16T15:10:00-04:00,SPY,SELL,168,562.09,1.0,-103.48000000000229
2024-09-16T15:30:00-04:00,SPY,BUY,168,562.55,1.0,
2024-09-17T10:55:00-04:00,SPY,SELL,168,565.13,1.0,432.4400000000069
2024-09-17T11:05:00-04:00,SPY,BUY,168,565.54,1.0,
2024-09-17T11:25:00-04:00,SPY,SELL,168,565.14,1.0,-68.19999999999618
2024-09-17T13:50:00-04:00,SPY,BUY,169,562.83,1.0,
2024-09-17T14:45:00-04:00,SPY,SELL,169,561.77,1.0,-180.14000000001
2024-09-17T15:45:00-04:00,SPY,BUY,169,562.36,1.0,
2024-09-18T10:15:00-04:00,SPY,SELL,169,562.49,1.0,20.96999999999923
2024-09-18T10:25:00-04:00,SPY,BUY,168,563.13,1.0,
2024-09-18T10:30:00-04:00,SPY,SELL,168,562.51,1.0,-105.16000000000076
2024-09-18T10:35:00-04:00,SPY,BUY,168,562.86,1.0,
2024-09-18T10:55:00-04:00,SPY,SELL,168,562.8,1.0,-11.080000000009932
2024-09-18T11:00:00-04:00,SPY,BUY,168,562.98,1.0,
2024-09-18T11:05:00-04:00,SPY,SELL,168,562.84,1.0,-24.519999999997708
2024-09-18T12:15:00-04:00,SPY,BUY,168,562.55,1.0,
2024-09-18T13:50:00-04:00,SPY,SELL,168,563.07,1.0,86.36000000001604
2024-09-18T14:00:00-04:00,SPY,BUY,167,565.79,1.0,
2024-09-18T14:40:00-04:00,SPY,SELL,167,563.75,1.0,-341.6799999999939
2024-09-18T14:45:00-04:00,SPY,BUY,167,565.07,1.0,
2024-09-18T14:55:00-04:00,SPY,SELL,167,563.79,1.0,-214.76000000001443
2024-09-18T15:10:00-04:00,SPY,BUY,167,564.58,1.0,
2024-09-18T15:15:00-04:00,SPY,SELL,167,564.41,1.0,-29.39000000001215
2024-09-18T15:25:00-04:00,SPY,BUY,167,564.94,1.0,
2024-09-18T15:30:00-04:00,SPY,SELL,167,563.38,1.0,-261.5200000000099
2024-09-19T09:30:00-04:00,SPY,BUY,165,570.03,1.0,
2024-09-19T11:05:00-04:00,SPY,SELL,165,569.88,1.0,-25.74999999999625
2024-09-19T11:15:00-04:00,SPY,BUY,165,570.71,1.0,
2024-09-19T11:50:00-04:00,SPY,SELL,165,570.46,1.0,-42.25
2024-09-19T12:00:00-04:00,SPY,BUY,164,571.23,1.0,
2024-09-19T14:10:00-04:00,SPY,SELL,164,571.86,1.0,102.31999999999925
2024-09-19T14:35:00-04:00,SPY,BUY,164,572.17,1.0,
2024-09-19T14:45:00-04:00,SPY,SELL,164,571.53,1.0,-105.95999999999776
2024-09-20T11:40:00-04:00,SPY,BUY,165,567.26,1.0,
2024-09-20T11:50:00-04:00,SPY,SELL,165,566.63,1.0,-104.94999999999925
2024-09-20T11:55:00-04:00,SPY,BUY,165,566.93,1.0,
2024-09-20T13:50:00-04:00,SPY,SELL,165,568.1,1.0,192.050000000012
2024-09-20T14:55:00-04:00,SPY,BUY,166,567.48,1.0,
2024-09-23T10:35:00-04:00,SPY,SELL,166,568.94,1.0,241.36000000000604
2024-09-23T10:40:00-04:00,SPY,BUY,165,569.77,1.0,
2024-09-23T11:05:00-04:00,SPY,SELL,165,569.14,1.0,-104.94999999999925
2024-09-23T11:20:00-04:00,SPY,BUY,165,569.6,1.0,
2024-09-23T11:55:00-04:00,SPY,SELL,165,569.6,1.0,-1.0
2024-09-23T13:30:00-04:00,SPY,BUY,165,569.2,1.0,
2024-09-23T15:05:00-04:00,SPY,SELL,165,569.22,1.0,2.2999999999969987
2024-09-23T15:15:00-04:00,SPY,BUY,165,569.47,1.0,
2024-09-23T15:40:00-04:00,SPY,SELL,165,569.29,1.0,-30.700000000010505
2024-09-23T15:45:00-04:00,SPY,BUY,165,569.77,1.0,
2024-09-24T09:55:00-04:00,SPY,SELL,165,569.33,1.0,-73.59999999999025
2024-09-24T10:50:00-04:00,SPY,BUY,165,569.21,1.0,
2024-09-24T12:55:00-04:00,SPY,SELL,165,570.45,1.0,203.6000000000015
2024-09-24T13:05:00-04:00,SPY,BUY,165,570.6,1.0,
2024-09-24T13:20:00-04:00,SPY,SELL,165,570.68,1.0,12.199999999987995
2024-09-24T13:30:00-04:00,SPY,BUY,165,570.9,1.0,
2024-09-24T13:45:00-04:00,SPY,SELL,165,570.6,1.0,-50.4999999999925
2024-09-24T14:50:00-04:00,SPY,BUY,165,570.57,1.0,
2024-09-24T14:55:00-04:00,SPY,SELL,165,570.45,1.0,-20.80000000000075
2024-09-24T15:00:00-04:00,SPY,BUY,165,570.57,1.0,
2024-09-25T10:25:00-04:00,SPY,SELL,165,571.1,1.0,86.4499999999955
2024-09-25T10:30:00-04:00,SPY,BUY,165,571.19,1.0,
2024-09-25T10:40:00-04:00,SPY,SELL,165,571.17,1.0,-4.300000000015757
2024-09-25T13:55:00-04:00,SPY,BUY,165,570.27,1.0,
2024-09-25T14:05:00-04:00,SPY,SELL,165,569.79,1.0,-80.200000000003
2024-09-25T14:25:00-04:00,SPY,BUY,165,570.2,1.0,
2024-09-25T15:10:00-04:00,SPY,SELL,165,569.88,1.0,-53.800000000008254
2024-09-25T15:55:00-04:00,SPY,BUY,165,570.0,1.0,
2024-09-26T10:50:00-04:00,SPY,SELL,165,572.01,1.0,330.6499999999985
2024-09-26T11:50:00-04:00,SPY,BUY,165,572.14,1.0,
2024-09-26T12:00:00-04:00,SPY,SELL,165,571.63,1.0,-85.1499999999985
2024-09-26T13:30:00-04:00,SPY,BUY,165,571.28,1.0,
2024-09-26T15:25:00-04:00,SPY,SELL,165,572.12,1.0,137.60000000000525
2024-09-26T15:45:00-04:00,SPY,BUY,165,572.28,1.0,
2024-09-26T15:50:00-04:00,SPY,SELL,165,572.21,1.0,-12.549999999989495
2024-09-26T15:55:00-04:00,SPY,BUY,165,572.29,1.0,
2024-09-27T11:10:00-04:00,SPY,SELL,165,573.28,1.0,162.3500000000015
2024-09-27T13:00:00-04:00,SPY,BUY,165,572.62,1.0,
2024-09-27T13:05:00-04:00,SPY,SELL,165,571.89,1.0,-121.450000000003
2024-09-27T13:50:00-04:00,SPY,BUY,165,572.29,1.0,
