trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
101,2025-06-03T13:40:00-04:00,XLB,BUY,Breakout > $87.57 | ADX=67.0 | RSI=81.8 | Vol spike 1.5x | SPY bullish | SL=$87.51 | TP=$87.71,1148,87.58,1.0,,
102,2025-06-03T13:50:00-04:00,XLB,SELL,Price $87.53 < 5-SMA $87.56,1148,87.53,1.0,-58.39999999999674,-0.058084693052231996
103,2025-06-03T15:35:00-04:00,XLB,BUY,Breakout > $87.64 | ADX=25.4 | RSI=58.3 | Vol spike 1.5x | SPY bullish | SL=$87.57 | TP=$87.80,1147,87.65,1.0,,
104,2025-06-03T15:45:00-04:00,XLB,SELL,Stop loss hit at $87.51 (SL: $87.57),1147,87.51,1.0,-161.58000000000067,-0.16071926796043853
105,2025-06-03T15:55:00-04:00,XLB,BUY,Breakout > $87.67 | ADX=20.3 | RSI=53.9 | Vol spike 1.5x | SPY bullish | SL=$87.60 | TP=$87.90,1146,87.7,1.0,,
106,2025-06-04T09:30:00-04:00,XLB,SELL,Take profit hit at $87.93 (TP: $87.90),1146,87.93,1.0,262.5800000000046,0.2612601139045588
107,2025-06-04T13:45:00-04:00,XLB,BUY,Breakout > $88.29 | ADX=35.3 | RSI=84.2 | Vol spike 1.5x | SPY bullish | SL=$88.26 | TP=$88.41,1139,88.31,1.0,,
108,2025-06-04T13:55:00-04:00,XLB,SELL,Stop loss hit at $88.25 (SL: $88.26),1139,88.25,1.0,-69.34000000000259,-0.06893597315493881
109,2025-06-12T15:55:00-04:00,XLB,BUY,Breakout > $88.40 | ADX=21.7 | RSI=60.0 | Vol spike 1.5x | SPY bullish | SL=$88.34 | TP=$88.55,1137,88.41,1.0,,
110,2025-06-13T09:30:00-04:00,XLB,SELL,Stop loss hit at $88.13 (SL: $88.34),1137,88.13,1.0,-319.36000000000126,-0.31769789989710956
111,2025-06-23T15:45:00-04:00,XLB,BUY,Breakout > $86.75 | ADX=66.7 | RSI=80.7 | Vol spike 1.5x | SPY bullish | SL=$86.71 | TP=$86.92,1158,86.78,1.0,,
112,2025-06-23T15:55:00-04:00,XLB,SELL,Take profit hit at $86.92 (TP: $86.92),1158,86.92,1.0,161.12000000000066,0.16033078773047615
113,2025-06-24T09:30:00-04:00,XLB,BUY,Breakout > $87.02 | ADX=70.0 | RSI=91.6 | Vol spike 1.5x | SPY bullish | SL=$87.12 | TP=$87.47,1152,87.24,1.0,,
114,2025-06-24T09:50:00-04:00,XLB,SELL,Price $87.30 < 5-SMA $87.32,1152,87.3,1.0,68.12000000000262,0.06778009637271273
115,2025-07-01T11:05:00-04:00,XLB,BUY,Breakout > $89.34 | ADX=67.6 | RSI=93.7 | Vol spike 1.5x | SPY bullish | SL=$89.33 | TP=$89.77,1124,89.48,1.0,,
116,2025-07-01T11:20:00-04:00,XLB,SELL,Take profit hit at $89.91 (TP: $89.77),1124,89.91,1.0,482.3199999999917,0.4795552679690962
117,2025-07-02T09:30:00-04:00,XLB,BUY,Breakout > $90.27 | ADX=23.4 | RSI=67.6 | Vol spike 1.5x | SPY bullish | SL=$90.45 | TP=$90.87,1110,90.59,1.0,,
118,2025-07-02T09:50:00-04:00,XLB,SELL,Price $90.58 < 5-SMA $90.61,1110,90.58,1.0,-12.100000000005679,-0.012033107952895531
119,2025-07-02T10:40:00-04:00,XLB,BUY,Breakout > $90.81 | ADX=36.9 | RSI=67.1 | Vol spike 1.5x | SPY bullish | SL=$90.69 | TP=$91.14,1107,90.84,1.0,,
120,2025-07-02T11:00:00-04:00,XLB,SELL,Price $90.84 < 5-SMA $90.86,1107,90.84,1.0,-1.0,-0.0009944224831763605
121,2025-07-02T15:15:00-04:00,XLB,BUY,Breakout > $91.38 | ADX=45.9 | RSI=86.8 | Vol spike 1.5x | SPY bullish | SL=$91.33 | TP=$91.53,1101,91.4,1.0,,
122,2025-07-02T15:20:00-04:00,XLB,SELL,Stop loss hit at $91.29 (SL: $91.33),1101,91.29,1.0,-122.10999999999937,-0.12134262921285725
123,2025-07-02T15:55:00-04:00,XLB,BUY,Breakout > $91.43 | ADX=33.8 | RSI=63.5 | Vol spike 1.5x | SPY bullish | SL=$91.36 | TP=$91.60,1100,91.44,1.0,,
124,2025-07-03T09:35:00-04:00,XLB,SELL,Take profit hit at $91.63 (TP: $91.60),1100,91.63,1.0,207.9999999999975,0.20679027688024804
125,2025-07-09T15:45:00-04:00,XLB,BUY,Breakout > $91.76 | ADX=27.9 | RSI=80.0 | Vol spike 1.5x | SPY bullish | SL=$91.71 | TP=$91.89,1096,91.77,1.0,,
126,2025-07-09T15:55:00-04:00,XLB,SELL,Price $91.77 < 5-SMA $91.77,1096,91.77,1.0,-1.0,-0.0009942243518949719
127,2025-07-10T09:50:00-04:00,XLB,BUY,Breakout > $92.04 | ADX=41.2 | RSI=85.9 | Vol spike 1.5x | SPY bullish | SL=$91.95 | TP=$92.27,1093,92.06,1.0,,
128,2025-07-10T10:00:00-04:00,XLB,SELL,Take profit hit at $92.37 (TP: $92.27),1093,92.37,1.0,337.8300000000025,0.3357397514553915
129,2025-07-11T14:30:00-04:00,XLB,BUY,Breakout > $91.42 | ADX=44.6 | RSI=80.8 | Vol spike 1.5x | SPY bullish | SL=$91.38 | TP=$91.56,1101,91.44,1.0,,
130,2025-07-11T14:40:00-04:00,XLB,SELL,Take profit hit at $91.62 (TP: $91.56),1101,91.62,1.0,197.1800000000075,0.1958551573734704
131,2025-07-14T14:30:00-04:00,XLB,BUY,Breakout > $91.07 | ADX=22.6 | RSI=77.3 | Vol spike 1.5x | SPY bullish | SL=$91.08 | TP=$91.25,1104,91.14,1.0,,
132,2025-07-14T14:45:00-04:00,XLB,SELL,Stop loss hit at $91.05 (SL: $91.08),1104,91.05,1.0,-100.36000000000377,-0.09974203822795862
