trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-01-02T09:40:00-05:00,OKLO,BUY,BUY,4394,21.62,1.0,,
2,2025-01-02T09:45:00-05:00,OKLO,SELL,SELL,4394,21.35,1.0,-1187.379999999998,-1.249883157009188
3,2025-01-02T11:45:00-05:00,OKLO,BUY,BUY,4192,22.39,1.0,,
4,2025-01-02T12:20:00-05:00,OKLO,SELL,SELL,4192,22.58,1.0,795.4799999999905,0.8475186629260452
5,2025-01-03T09:35:00-05:00,OKLO,BUY,BUY,4054,23.34,1.0,,
6,2025-01-03T09:55:00-05:00,OKLO,SELL,SELL,4054,24.12,1.0,3161.1200000000044,3.3408101511117625
7,2025-01-03T10:00:00-05:00,OKLO,BUY,BUY,3970,24.59,1.0,,
8,2025-01-03T10:10:00-05:00,OKLO,SELL,SELL,3970,24.3,1.0,-1152.2999999999965,-1.1803534607004644
9,2025-01-03T10:25:00-05:00,OKLO,BUY,BUY,3892,24.8,1.0,,
10,2025-01-03T11:05:00-05:00,OKLO,SELL,SELL,3892,25.33,1.0,2061.7599999999907,2.1360386065025088
11,2025-01-06T09:30:00-05:00,OKLO,BUY,BUY,3459,28.47,1.0,,
12,2025-01-06T09:40:00-05:00,OKLO,SELL,SELL,3459,27.67,1.0,-2768.1999999999903,-2.81096232658564
13,2025-01-13T15:55:00-05:00,OKLO,BUY,BUY,4189,22.88,1.0,,
14,2025-01-14T09:30:00-05:00,OKLO,SELL,SELL,4189,23.86,1.0,4104.220000000002,4.282128746609644
15,2025-01-14T10:10:00-05:00,OKLO,BUY,BUY,4127,24.17,1.0,,
16,2025-01-14T10:30:00-05:00,OKLO,SELL,SELL,4127,23.78,1.0,-1610.5300000000022,-1.6145568662801917
17,2025-01-14T13:40:00-05:00,OKLO,BUY,BUY,4116,23.86,1.0,,
18,2025-01-14T14:05:00-05:00,OKLO,SELL,SELL,4116,23.85,1.0,-42.15999999999181,-0.04292896071591965
19,2025-01-15T10:05:00-05:00,OKLO,BUY,BUY,3833,25.61,1.0,,
20,2025-01-15T10:10:00-05:00,OKLO,SELL,SELL,3833,25.27,1.0,-1304.2199999999993,-1.3286115814401853
21,2025-01-16T15:05:00-05:00,OKLO,BUY,BUY,3948,24.55,1.0,,
22,2025-01-16T15:15:00-05:00,OKLO,SELL,SELL,3948,24.28,1.0,-1066.9599999999982,-1.1008167190098654
23,2025-01-17T09:30:00-05:00,OKLO,BUY,BUY,3800,25.24,1.0,,
24,2025-01-17T09:50:00-05:00,OKLO,SELL,SELL,3800,25.05,1.0,-722.9999999999914,-0.7538081386256205
25,2025-01-17T10:55:00-05:00,OKLO,BUY,BUY,3621,26.3,1.0,,
26,2025-01-17T11:15:00-05:00,OKLO,SELL,SELL,3621,26.1,1.0,-725.1999999999974,-0.7614983414414889
27,2025-01-17T11:35:00-05:00,OKLO,BUY,BUY,3534,26.75,1.0,,
28,2025-01-17T11:45:00-05:00,OKLO,SELL,SELL,3534,26.06,1.0,-2439.4600000000046,-2.5804697706152764
29,2025-01-21T11:20:00-05:00,OKLO,BUY,BUY,3045,30.29,1.0,,
30,2025-01-21T11:55:00-05:00,OKLO,SELL,SELL,3045,30.69,1.0,1217.0000000000066,1.3194693283012147
31,2025-01-21T15:25:00-05:00,OKLO,BUY,BUY,2990,31.23,1.0,,
