trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-01-14T09:30:00-05:00,OKLO,BUY,Breakout > $22.97 | ADX=25.4 | RSI=83.1 | Vol spike 1.5x | SPY bullish | SL=$23.63 | TP=$24.32,4191,23.86,1.0,,
2,2025-01-14T09:35:00-05:00,OKLO,SELL,Stop loss hit at $23.60 (SL: $23.63),4191,23.6,1.0,-1090.6599999999917,-1.0906789778142059
3,2025-01-14T13:40:00-05:00,OKLO,BUY,Breakout > $23.75 | ADX=48.6 | RSI=89.8 | Vol spike 1.5x | SPY bullish | SL=$23.70 | TP=$24.17,4186,23.86,1.0,,
4,2025-01-14T14:05:00-05:00,OKLO,SELL,Price $23.85 < 5-SMA $23.89,4186,23.85,1.0,-42.85999999999167,-0.04291194061290954
5,2025-01-16T15:05:00-05:00,OKLO,BUY,Breakout > $24.42 | ADX=30.1 | RSI=82.7 | Vol spike 1.5x | SPY bullish | SL=$24.41 | TP=$24.83,4068,24.55,1.0,,
6,2025-01-16T15:15:00-05:00,OKLO,SELL,Stop loss hit at $24.28 (SL: $24.41),4068,24.28,1.0,-1099.3599999999983,-1.1007866194588167
7,2025-01-21T11:20:00-05:00,OKLO,BUY,Breakout > $29.98 | ADX=48.2 | RSI=92.0 | Vol spike 1.5x | SPY bullish | SL=$29.78 | TP=$31.31,3294,30.29,1.0,,
8,2025-01-21T11:55:00-05:00,OKLO,SELL,Price $30.69 < 5-SMA $30.81,3294,30.69,1.0,1316.600000000007,1.3195523664647353
9,2025-01-22T09:30:00-05:00,OKLO,BUY,Breakout > $31.48 | ADX=26.0 | RSI=81.1 | Vol spike 1.5x | SPY bullish | SL=$32.64 | TP=$33.85,3023,33.04,1.0,,
10,2025-01-22T09:35:00-05:00,OKLO,SELL,Stop loss hit at $32.35 (SL: $32.64),3023,32.35,1.0,-2086.869999999993,-2.0893580075153424
11,2025-01-23T11:35:00-05:00,OKLO,BUY,Breakout > $39.89 | ADX=41.6 | RSI=87.0 | Vol spike 1.5x | SPY bullish | SL=$39.05 | TP=$41.60,2498,39.9,1.0,,
12,2025-01-23T11:40:00-05:00,OKLO,SELL,Price $39.07 < 5-SMA $39.35,2498,39.07,1.0,-2074.3399999999956,-2.0811829294721
13,2025-01-29T09:40:00-05:00,OKLO,BUY,Breakout > $35.11 | ADX=48.0 | RSI=82.8 | Vol spike 1.5x | SPY bullish | SL=$35.05 | TP=$36.67,2795,35.59,1.0,,
14,2025-01-29T09:50:00-05:00,OKLO,SELL,Take profit hit at $37.09 (TP: $36.67),2795,37.09,1.0,4191.5,4.213619395014127
15,2025-01-29T10:00:00-05:00,OKLO,BUY,Breakout > $37.55 | ADX=56.2 | RSI=83.9 | Vol spike 1.5x | SPY bullish | SL=$36.81 | TP=$39.12,2658,37.58,1.0,,
16,2025-01-29T10:25:00-05:00,OKLO,SELL,Price $37.23 < 5-SMA $37.56,2658,37.23,1.0,-931.3000000000038,-0.9323382518772945
17,2025-01-30T09:40:00-05:00,OKLO,BUY,Breakout > $38.45 | ADX=38.5 | RSI=89.2 | Vol spike 1.5x | SPY bullish | SL=$37.81 | TP=$39.87,2592,38.5,1.0,,
18,2025-01-30T09:50:00-05:00,OKLO,SELL,Price $38.36 < 5-SMA $38.44,2592,38.36,1.0,-363.8800000000015,-0.3646347940236304
19,2025-02-05T09:30:00-05:00,OKLO,BUY,Breakout > $46.99 | ADX=34.0 | RSI=84.8 | Vol spike 1.5x | SPY bullish | SL=$47.20 | TP=$48.53,2094,47.64,1.0,,
20,2025-02-05T09:35:00-05:00,OKLO,SELL,Stop loss hit at $46.51 (SL: $47.20),2094,46.51,1.0,-2367.2200000000053,-2.3729349765976426
21,2025-02-05T10:50:00-05:00,OKLO,BUY,Breakout > $50.88 | ADX=55.6 | RSI=80.3 | Vol spike 1.5x | SPY bullish | SL=$49.99 | TP=$52.96,1952,50.98,1.0,,
22,2025-02-05T11:05:00-05:00,OKLO,SELL,Price $50.55 < 5-SMA $51.09,1952,50.55,1.0,-840.3599999999994,-0.8444644349395798
23,2025-02-05T14:15:00-05:00,OKLO,BUY,Breakout > $50.46 | ADX=23.9 | RSI=82.6 | Vol spike 1.5x | SPY bullish | SL=$50.45 | TP=$51.86,1953,50.92,1.0,,
24,2025-02-05T14:40:00-05:00,OKLO,SELL,Price $50.68 < 5-SMA $50.69,1953,50.68,1.0,-469.7200000000039,-0.4723283862803987
25,2025-02-07T09:45:00-05:00,OKLO,BUY,Breakout > $56.94 | ADX=49.4 | RSI=98.6 | Vol spike 1.5x | SPY bullish | SL=$57.01 | TP=$60.42,1709,58.15,1.0,,
26,2025-02-07T10:00:00-05:00,OKLO,SELL,Stop loss hit at $55.97 (SL: $57.01),1709,55.97,1.0,-3726.6199999999994,-3.749893715344284
27,2025-02-12T12:35:00-05:00,OKLO,BUY,Breakout > $54.64 | ADX=37.2 | RSI=80.7 | Vol spike 1.5x | SPY bullish | SL=$54.19 | TP=$55.93,1808,54.77,1.0,,
28,2025-02-12T12:55:00-05:00,OKLO,SELL,Price $54.78 < 5-SMA $54.84,1808,54.78,1.0,17.079999999996403,0.017248141785376973
29,2025-02-13T14:35:00-05:00,OKLO,BUY,Breakout > $53.09 | ADX=32.1 | RSI=86.9 | Vol spike 1.5x | SPY bullish | SL=$53.00 | TP=$53.90,1858,53.3,1.0,,
30,2025-02-13T14:55:00-05:00,OKLO,SELL,Price $53.27 < 5-SMA $53.34,1858,53.27,1.0,-56.73999999998891,-0.057294380424981035
31,2025-02-13T15:10:00-05:00,OKLO,BUY,Breakout > $53.70 | ADX=49.2 | RSI=82.0 | Vol spike 1.5x | SPY bullish | SL=$53.49 | TP=$54.32,1841,53.77,1.0,,
32,2025-02-13T15:30:00-05:00,OKLO,SELL,Price $53.81 < 5-SMA $53.87,1841,53.81,1.0,72.63999999999842,0.07337998579070765
33,2025-02-13T15:35:00-05:00,OKLO,BUY,Breakout > $54.10 | ADX=55.3 | RSI=84.7 | Vol spike 1.5x | SPY bullish | SL=$53.91 | TP=$54.87,1826,54.23,1.0,,
34,2025-02-13T15:45:00-05:00,OKLO,SELL,Take profit hit at $55.17 (TP: $54.87),1826,55.17,1.0,1715.440000000009,1.7323305695189324
35,2025-02-25T14:45:00-05:00,OKLO,BUY,Breakout > $31.62 | ADX=31.0 | RSI=80.5 | Vol spike 1.5x | SPY bullish | SL=$31.53 | TP=$32.36,3118,31.81,1.0,,
36,2025-02-25T14:55:00-05:00,OKLO,SELL,Price $31.58 < 5-SMA $31.63,3118,31.58,1.0,-718.1400000000014,-0.7240439995813879
37,2025-02-25T15:20:00-05:00,OKLO,BUY,Breakout > $32.14 | ADX=33.1 | RSI=82.1 | Vol spike 1.5x | SPY bullish | SL=$32.34 | TP=$33.39,3032,32.69,1.0,,
38,2025-02-25T15:30:00-05:00,OKLO,SELL,Stop loss hit at $32.17 (SL: $32.34),3032,32.17,1.0,-1577.639999999988,-1.5916933791834749
