trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-02-25T09:30:00-05:00,XLV,BUY,Breakout > $148.22 | ADX=27.4 | RSI=56.5 | Vol spike 1.5x | SPY bullish | SL=$148.17 | TP=$149.08,673,148.47,1.0,,
2,2025-02-25T10:30:00-05:00,XLV,SELL,Price $148.54 < 5-SMA $148.54,673,148.54,1.0,46.10999999999541,0.046146312533327884
3,2025-02-25T15:45:00-05:00,XLV,BUY,Breakout > $148.75 | ADX=30.3 | RSI=73.9 | Vol spike 1.5x | SPY bullish | SL=$148.58 | TP=$149.48,671,148.88,1.0,,
4,2025-02-26T09:30:00-05:00,XLV,SELL,Stop loss hit at $148.08 (SL: $148.58),671,148.08,1.0,-537.7999999999886,-0.5383411405144337
5,2025-03-17T09:30:00-04:00,XLV,BUY,Breakout > $145.15 | ADX=24.2 | RSI=70.0 | Vol spike 1.5x | SPY bullish | SL=$145.21 | TP=$146.10,686,145.51,1.0,,
6,2025-03-17T10:30:00-04:00,XLV,SELL,Take profit hit at $146.19 (TP: $146.10),686,146.19,1.0,465.4800000000047,0.46631535733112767
7,2025-03-31T15:30:00-04:00,XLV,BUY,Breakout > $146.15 | ADX=29.7 | RSI=75.4 | Vol spike 1.5x | SPY bullish | SL=$146.05 | TP=$147.15,682,146.42,1.0,,
8,2025-03-31T15:45:00-04:00,XLV,SELL,Stop loss hit at $145.95 (SL: $146.05),682,145.95,1.0,-321.5399999999992,-0.3219925927884227
9,2025-04-09T15:45:00-04:00,XLV,BUY,Breakout > $138.58 | ADX=70.8 | RSI=82.5 | Vol spike 1.5x | SPY bullish | SL=$136.96 | TP=$142.22,720,138.71,1.0,,
10,2025-04-10T09:30:00-04:00,XLV,SELL,Stop loss hit at $135.78 (SL: $136.96),720,135.78,1.0,-2110.600000000005,-2.113300798420386
11,2025-04-14T09:30:00-04:00,XLV,BUY,Breakout > $137.76 | ADX=51.3 | RSI=65.3 | Vol spike 1.5x | SPY bullish | SL=$137.24 | TP=$139.17,723,137.88,1.0,,
12,2025-04-14T11:15:00-04:00,XLV,SELL,Price $137.99 < 5-SMA $138.08,723,137.99,1.0,78.53000000000986,0.0787755907818313
13,2025-04-23T09:30:00-04:00,XLV,BUY,Breakout > $135.28 | ADX=37.0 | RSI=69.1 | Vol spike 1.5x | SPY bullish | SL=$136.57 | TP=$138.33,727,137.16,1.0,,
14,2025-04-23T10:45:00-04:00,XLV,SELL,Price $137.12 < 5-SMA $137.44,727,137.12,1.0,-30.079999999994214,-0.03016557369946486
15,2025-04-24T12:15:00-04:00,XLV,BUY,Breakout > $136.97 | ADX=47.6 | RSI=83.9 | Vol spike 1.5x | SPY bullish | SL=$136.56 | TP=$137.88,728,137.0,1.0,,
16,2025-04-24T13:15:00-04:00,XLV,SELL,Price $136.75 < 5-SMA $136.98,728,136.75,1.0,-183.0,-0.18348255913051326
17,2025-04-24T15:30:00-04:00,XLV,BUY,Breakout > $137.37 | ADX=41.3 | RSI=64.2 | Vol spike 1.5x | SPY bullish | SL=$137.13 | TP=$137.94,725,137.4,1.0,,
18,2025-04-25T09:30:00-04:00,XLV,SELL,Stop loss hit at $136.18 (SL: $137.13),725,136.18,1.0,-885.4999999999992,-0.8889134275618367
19,2025-04-29T12:00:00-04:00,XLV,BUY,Breakout > $139.54 | ADX=32.7 | RSI=69.3 | Vol spike 1.5x | SPY bullish | SL=$139.11 | TP=$140.56,713,139.59,1.0,,
20,2025-04-29T12:45:00-04:00,XLV,SELL,Price $139.16 < 5-SMA $139.43,713,139.16,1.0,-307.59000000000486,-0.30904662947872696
