timestamp,symbol,action,quantity,price,commission,strategy,pnl
2025-05-19 06:35:30,NVDA,BUY,148,134.48,1.48,SimpleMomentum,
2025-05-19 06:35:30,NVDA,BUY,148,134.48,1.48,SimpleMomentum,
2025-05-19 06:35:30,NVDA,BUY,148,134.48,1.48,SimpleMomentum,
2025-05-19 06:35:30,NVDA,BUY,148,134.48,1.48,SimpleMomentum,
2025-05-19 07:45:30,NVDA,SELL,148,134.35,1.48,SimpleMomentum,-20.719999999999327
2025-05-19 07:45:30,NVDA,SELL,148,134.35,1.48,SimpleMomentum,-20.719999999999327
2025-05-19 07:45:30,NVDA,SELL,148,134.35,1.48,SimpleMomentum,-20.720000000003534
2025-05-19 07:45:30,NVDA,SELL,148,134.35,1.48,SimpleMomentum,-20.720000000003534
2025-05-23 06:30:30,AAPL,BUY,101,196.74,1.01,SimpleMomentum,
2025-05-23 06:30:30,AAPL,BUY,101,196.74,1.01,SimpleMomentum,
2025-05-23 06:30:30,AAPL,BUY,101,196.74,1.01,SimpleMomentum,
2025-05-23 06:30:30,AAPL,BUY,101,196.74,1.01,SimpleMomentum,
2025-05-23 06:40:45,AAPL,SELL,101,196.0,1.01,SimpleMomentum,-75.75000000000092
2025-05-23 06:40:45,AAPL,SELL,101,196.0,1.01,SimpleMomentum,-75.75000000000092
2025-05-23 06:40:45,AAPL,SELL,101,196.0,1.01,SimpleMomentum,-75.74999999999805
2025-05-23 06:40:45,AAPL,SELL,101,196.0,1.01,SimpleMomentum,-75.74999999999805
