trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
68,2025-06-24T10:10:00-04:00,OKLO,SELL,Price $59.36 < 5-SMA $59.79,1706,59.36,1.0,-342.2000000000048,-0.33677668300752484
69,2025-07-07T13:50:00-04:00,OKLO,BUY,Breakout > $54.48 | ADX=35.0 | RSI=84.0 | Vol spike 1.5x | SPY bullish | SL=$54.42 | TP=$55.41,1855,54.75,1.0,,
70,2025-07-07T14:15:00-04:00,OKLO,SELL,Stop loss hit at $54.39 (SL: $54.42),1855,54.39,1.0,-668.7999999999989,-0.658512390184344
71,2025-07-09T15:10:00-04:00,OKLO,BUY,Breakout > $53.63 | ADX=39.1 | RSI=92.0 | Vol spike 1.5x | SPY bullish | SL=$53.64 | TP=$54.29,1884,53.86,1.0,,
72,2025-07-09T15:25:00-04:00,OKLO,SELL,Price $53.73 < 5-SMA $53.78,1884,53.73,1.0,-245.92000000000482,-0.24234960862588484
73,2025-07-10T11:50:00-04:00,OKLO,BUY,Breakout > $54.94 | ADX=31.0 | RSI=85.4 | Vol spike 1.5x | SPY bullish | SL=$54.94 | TP=$56.28,1832,55.39,1.0,,
74,2025-07-10T12:10:00-04:00,OKLO,SELL,Price $55.32 < 5-SMA $55.34,1832,55.32,1.0,-129.24000000000052,-0.12736081662289306
75,2025-07-10T15:20:00-04:00,OKLO,BUY,Breakout > $56.13 | ADX=49.9 | RSI=89.1 | Vol spike 1.5x | SPY bullish | SL=$55.95 | TP=$56.72,1805,56.21,1.0,,
76,2025-07-10T15:25:00-04:00,OKLO,SELL,Stop loss hit at $55.89 (SL: $55.95),1805,55.89,1.0,-578.6000000000005,-0.5702737185719902
77,2025-07-14T13:50:00-04:00,OKLO,BUY,Breakout > $58.39 | ADX=55.5 | RSI=81.3 | Vol spike 1.5x | SPY bullish | SL=$58.09 | TP=$59.56,1731,58.58,1.0,,
78,2025-07-14T14:05:00-04:00,OKLO,SELL,Take profit hit at $59.77 (TP: $59.56),1731,59.77,1.0,2058.8900000000085,2.0304038402027325
79,2025-07-14T14:10:00-04:00,OKLO,BUY,Breakout > $59.86 | ADX=66.9 | RSI=87.6 | Vol spike 1.5x | SPY bullish | SL=$59.56 | TP=$61.11,1691,60.08,1.0,,
80,2025-07-14T14:40:00-04:00,OKLO,SELL,Price $60.31 < 5-SMA $60.73,1691,60.31,1.0,387.9300000000067,0.38183484670896095
81,2025-07-14T15:55:00-04:00,OKLO,BUY,Breakout > $62.18 | ADX=59.6 | RSI=92.2 | Vol spike 1.5x | SPY bullish | SL=$61.93 | TP=$63.34,1629,62.4,1.0,,
82,2025-07-15T09:30:00-04:00,OKLO,SELL,Stop loss hit at $60.10 (SL: $61.93),1629,60.1,1.0,-3747.6999999999953,-3.6868449374622436
