timestamp,open,high,low,close,volume,average,barCount
2025-02-20 09:30:00-05:00,146.19,146.84,146.1,146.83,308271.0,146.519,1636
2025-02-20 09:45:00-05:00,146.84,147.03,146.68,146.97,347294.0,146.904,2189
2025-02-20 10:00:00-05:00,146.98,147.25,146.72,147.2,381228.0,146.887,2067
2025-02-20 10:15:00-05:00,147.2,147.24,146.9,147.09,231633.0,147.101,1202
2025-02-20 10:30:00-05:00,147.09,147.21,147.01,147.11,135895.0,147.106,831
2025-02-20 10:45:00-05:00,147.12,147.14,146.96,147.13,124618.0,147.066,822
2025-02-20 11:00:00-05:00,147.12,147.19,146.95,147.13,174240.0,147.07,907
2025-02-20 11:15:00-05:00,147.12,147.25,147.06,147.15,126294.0,147.129,638
2025-02-20 11:30:00-05:00,147.14,147.14,146.86,146.9,138955.0,146.948,839
2025-02-20 11:45:00-05:00,146.91,146.94,146.82,146.85,138842.0,146.879,667
2025-02-20 12:00:00-05:00,146.84,146.93,146.72,146.93,81785.0,146.806,543
2025-02-20 12:15:00-05:00,146.93,147.04,146.86,146.92,145716.0,146.926,735
2025-02-20 12:30:00-05:00,146.94,147.02,146.88,147.02,98509.0,146.945,610
2025-02-20 12:45:00-05:00,147.02,147.07,146.8,146.87,297063.0,146.876,1395
2025-02-20 13:00:00-05:00,146.87,146.87,146.56,146.77,276322.0,146.679,1526
2025-02-20 13:15:00-05:00,146.77,146.77,146.6,146.66,138993.0,146.682,704
2025-02-20 13:30:00-05:00,146.67,146.95,146.64,146.93,82541.0,146.782,434
2025-02-20 13:45:00-05:00,146.92,146.94,146.77,146.85,95939.0,146.845,602
2025-02-20 14:00:00-05:00,146.86,146.94,146.83,146.91,82427.0,146.881,523
2025-02-20 14:15:00-05:00,146.91,146.97,146.84,146.86,123361.0,146.91,732
2025-02-20 14:30:00-05:00,146.85,146.92,146.76,146.9,73024.0,146.842,479
2025-02-20 14:45:00-05:00,146.9,147.02,146.85,146.94,127955.0,146.965,780
2025-02-20 15:00:00-05:00,146.94,146.98,146.87,146.9,85071.0,146.929,582
2025-02-20 15:15:00-05:00,146.9,146.95,146.82,146.92,208228.0,146.89,1413
2025-02-20 15:30:00-05:00,146.92,147.03,146.88,146.94,219628.0,146.959,1444
2025-02-20 15:45:00-05:00,146.94,147.3,146.91,147.22,863422.0,147.181,4097
2025-02-21 09:30:00-05:00,145.48,146.37,145.34,146.26,726762.0,145.955,3854
2025-02-21 09:45:00-05:00,146.24,146.44,146.05,146.12,436582.0,146.251,2226
2025-02-21 10:00:00-05:00,146.1,146.35,145.85,146.23,238058.0,146.077,1604
2025-02-21 10:15:00-05:00,146.23,146.46,146.17,146.43,214403.0,146.331,1212
2025-02-21 10:30:00-05:00,146.41,146.63,146.26,146.62,141718.0,146.453,844
2025-02-21 10:45:00-05:00,146.61,146.72,146.45,146.63,169172.0,146.578,1066
2025-02-21 11:00:00-05:00,146.65,146.87,146.63,146.78,174623.0,146.765,1316
2025-02-21 11:15:00-05:00,146.78,147.0,146.68,146.84,280825.0,146.891,1474
2025-02-21 11:30:00-05:00,146.83,147.0,146.78,146.84,210596.0,146.918,1000
2025-02-21 11:45:00-05:00,146.83,146.85,146.67,146.78,95633.0,146.765,563
2025-02-21 12:00:00-05:00,146.77,146.99,146.72,146.94,53062.0,146.85,398
2025-02-21 12:15:00-05:00,146.92,146.92,146.65,146.67,77381.0,146.784,575
2025-02-21 12:30:00-05:00,146.68,146.7,146.48,146.55,141234.0,146.595,941
2025-02-21 12:45:00-05:00,146.53,146.7,146.48,146.64,142820.0,146.605,938
2025-02-21 13:00:00-05:00,146.65,147.06,146.65,147.06,274402.0,146.808,1663
2025-02-21 13:15:00-05:00,147.06,147.14,146.64,146.65,229047.0,146.923,1373
2025-02-21 13:30:00-05:00,146.66,146.83,146.58,146.58,257619.0,146.717,1003
2025-02-21 13:45:00-05:00,146.58,146.69,146.43,146.65,116410.0,146.556,683
2025-02-21 14:00:00-05:00,146.64,146.88,146.52,146.82,178664.0,146.673,1105
2025-02-21 14:15:00-05:00,146.81,146.83,146.65,146.77,141909.0,146.736,892
2025-02-21 14:30:00-05:00,146.76,146.9,146.64,146.87,193625.0,146.759,1334
2025-02-21 14:45:00-05:00,146.87,146.97,146.77,146.86,162159.0,146.905,1095
2025-02-21 15:00:00-05:00,146.86,146.94,146.59,146.63,285348.0,146.767,1580
2025-02-21 15:15:00-05:00,146.64,146.8,146.55,146.78,298467.0,146.653,1438
2025-02-21 15:30:00-05:00,146.79,146.79,146.61,146.69,498888.0,146.699,2565
2025-02-21 15:45:00-05:00,146.69,146.82,146.41,146.48,1361603.0,146.587,6113
2025-02-24 09:30:00-05:00,146.59,146.9,146.27,146.87,359387.0,146.567,1842
2025-02-24 09:45:00-05:00,146.86,147.34,146.46,147.27,462627.0,146.935,2393
2025-02-24 10:00:00-05:00,147.25,147.83,147.2,147.42,507689.0,147.501,2844
2025-02-24 10:15:00-05:00,147.42,147.8,147.33,147.58,304341.0,147.557,1307
2025-02-24 10:30:00-05:00,147.55,147.83,147.44,147.78,359344.0,147.636,1767
2025-02-24 10:45:00-05:00,147.79,148.04,147.69,147.83,258409.0,147.839,1293
2025-02-24 11:00:00-05:00,147.83,147.85,147.63,147.73,486340.0,147.733,1413
2025-02-24 11:15:00-05:00,147.74,147.84,147.63,147.75,287094.0,147.737,1325
2025-02-24 11:30:00-05:00,147.75,147.95,147.72,147.72,244357.0,147.86,1517
2025-02-24 11:45:00-05:00,147.73,148.06,147.7,147.98,180379.0,147.914,1002
2025-02-24 12:00:00-05:00,147.99,148.01,147.86,147.98,92591.0,147.927,634
2025-02-24 12:15:00-05:00,147.98,148.13,147.96,148.05,196275.0,148.038,1099
2025-02-24 12:30:00-05:00,148.05,148.2,147.98,148.17,213176.0,148.113,1079
2025-02-24 12:45:00-05:00,148.17,148.22,147.83,147.86,228456.0,148.029,1138
2025-02-24 13:00:00-05:00,147.87,147.88,147.67,147.7,138261.0,147.789,798
2025-02-24 13:15:00-05:00,147.7,147.96,147.68,147.84,129573.0,147.791,516
2025-02-24 13:30:00-05:00,147.84,147.95,147.82,147.83,83061.0,147.87,582
2025-02-24 13:45:00-05:00,147.82,147.84,147.7,147.76,143867.0,147.754,813
2025-02-24 14:00:00-05:00,147.77,147.88,147.75,147.81,110360.0,147.811,652
2025-02-24 14:15:00-05:00,147.81,148.03,147.79,147.97,115908.0,147.945,761
2025-02-24 14:30:00-05:00,147.98,148.15,147.9,147.95,82059.0,148.017,577
2025-02-24 14:45:00-05:00,147.97,148.07,147.91,148.05,101164.0,147.976,725
2025-02-24 15:00:00-05:00,148.06,148.18,147.97,148.06,148116.0,148.081,962
2025-02-24 15:15:00-05:00,148.05,148.09,147.78,147.81,284354.0,147.991,1145
2025-02-24 15:30:00-05:00,147.82,147.85,147.68,147.72,180961.0,147.773,1184
2025-02-24 15:45:00-05:00,147.71,147.88,147.53,147.63,664754.0,147.647,3278
2025-02-25 09:30:00-05:00,147.89,148.92,147.89,148.47,357273.0,148.347,2116
2025-02-25 09:45:00-05:00,148.44,148.83,148.29,148.61,364966.0,148.619,2087
2025-02-25 10:00:00-05:00,148.61,148.76,148.28,148.37,353988.0,148.529,2206
2025-02-25 10:15:00-05:00,148.36,148.79,148.23,148.71,314061.0,148.59,1742
2025-02-25 10:30:00-05:00,148.7,148.71,148.27,148.54,704501.0,148.454,3008
2025-02-25 10:45:00-05:00,148.53,148.64,148.3,148.52,238042.0,148.484,1398
2025-02-25 11:00:00-05:00,148.52,148.75,148.32,148.67,345844.0,148.561,1584
2025-02-25 11:15:00-05:00,148.66,148.71,148.29,148.31,238703.0,148.491,1271
2025-02-25 11:30:00-05:00,148.3,148.31,147.94,148.09,492968.0,148.075,1906
2025-02-25 11:45:00-05:00,148.08,148.09,147.41,147.7,552083.0,147.782,3071
2025-02-25 12:00:00-05:00,147.69,147.9,147.57,147.68,270839.0,147.715,1380
2025-02-25 12:15:00-05:00,147.69,147.8,147.54,147.8,137847.0,147.677,887
2025-02-25 12:30:00-05:00,147.79,148.05,147.78,148.0,254157.0,147.96,1245
2025-02-25 12:45:00-05:00,148.01,148.11,147.94,148.0,114264.0,148.02,712
2025-02-25 13:00:00-05:00,148.0,148.19,147.88,147.9,186579.0,148.055,1112
2025-02-25 13:15:00-05:00,147.89,147.97,147.81,147.86,155353.0,147.877,1028
2025-02-25 13:30:00-05:00,147.86,148.22,147.84,148.2,182749.0,148.007,1124
2025-02-25 13:45:00-05:00,148.2,148.26,148.06,148.06,204667.0,148.147,1066
2025-02-25 14:00:00-05:00,148.06,148.1,147.86,147.91,198777.0,147.984,1178
2025-02-25 14:15:00-05:00,147.9,148.03,147.85,147.9,176920.0,147.956,1037
2025-02-25 14:30:00-05:00,147.91,148.52,147.9,148.5,291255.0,148.206,1675
2025-02-25 14:45:00-05:00,148.5,148.58,148.35,148.46,297635.0,148.493,1247
2025-02-25 15:00:00-05:00,148.45,148.6,148.33,148.4,323191.0,148.482,1528
2025-02-25 15:15:00-05:00,148.39,148.71,148.34,148.6,318317.0,148.583,1639
2025-02-25 15:30:00-05:00,148.61,148.71,148.44,148.55,648472.0,148.58,3483
2025-02-25 15:45:00-05:00,148.55,149.09,148.54,148.88,1715557.0,148.851,8183
2025-02-26 09:30:00-05:00,148.31,148.51,147.9,148.08,418678.0,148.158,2404
2025-02-26 09:45:00-05:00,148.06,148.38,147.91,148.06,194674.0,148.081,1172
2025-02-26 10:00:00-05:00,148.07,148.61,148.07,148.57,278532.0,148.372,1593
2025-02-26 10:15:00-05:00,148.55,148.71,148.42,148.65,251807.0,148.512,1187
2025-02-26 10:30:00-05:00,148.69,148.82,148.33,148.4,178739.0,148.509,1018
2025-02-26 10:45:00-05:00,148.41,148.76,148.4,148.59,117568.0,148.574,695
2025-02-26 11:00:00-05:00,148.6,148.87,148.59,148.69,90902.0,148.711,598
2025-02-26 11:15:00-05:00,148.7,148.95,148.46,148.47,125812.0,148.679,779
2025-02-26 11:30:00-05:00,148.47,148.49,148.1,148.17,207671.0,148.368,859
2025-02-26 11:45:00-05:00,148.17,148.34,148.13,148.18,127085.0,148.22,831
2025-02-26 12:00:00-05:00,148.19,148.34,148.13,148.34,70839.0,148.261,504
2025-02-26 12:15:00-05:00,148.33,148.41,148.17,148.32,211704.0,148.308,1289
2025-02-26 12:30:00-05:00,148.32,148.37,147.92,147.99,188991.0,148.108,1110
2025-02-26 12:45:00-05:00,148.0,148.04,147.43,147.58,178504.0,147.721,1094
2025-02-26 13:00:00-05:00,147.58,147.72,147.55,147.67,229029.0,147.627,1195
2025-02-26 13:15:00-05:00,147.67,147.7,147.55,147.6,158723.0,147.635,927
2025-02-26 13:30:00-05:00,147.59,147.65,147.54,147.59,103364.0,147.585,602
2025-02-26 13:45:00-05:00,147.59,147.61,147.39,147.41,138860.0,147.471,913
2025-02-26 14:00:00-05:00,147.41,147.51,147.34,147.43,183286.0,147.403,1167
2025-02-26 14:15:00-05:00,147.43,147.82,147.38,147.75,167491.0,147.557,856
2025-02-26 14:30:00-05:00,147.75,148.0,147.75,147.98,152455.0,147.857,700
2025-02-26 14:45:00-05:00,147.99,148.0,147.74,147.77,120142.0,147.875,718
2025-02-26 15:00:00-05:00,147.77,147.91,147.63,147.81,224111.0,147.783,1204
2025-02-26 15:15:00-05:00,147.8,147.83,147.62,147.62,103398.0,147.766,661
2025-02-26 15:30:00-05:00,147.61,147.98,147.59,147.94,245357.0,147.817,1287
2025-02-26 15:45:00-05:00,147.94,148.06,147.72,147.86,656369.0,147.882,3168
2025-02-27 09:30:00-05:00,147.55,148.27,147.5,148.25,304471.0,147.886,2017
2025-02-27 09:45:00-05:00,148.23,148.91,148.15,148.71,291807.0,148.551,1760
2025-02-27 10:00:00-05:00,148.71,148.91,148.1,148.19,372373.0,148.469,2036
2025-02-27 10:15:00-05:00,148.2,148.76,148.06,148.59,324214.0,148.529,1860
2025-02-27 10:30:00-05:00,148.56,148.6,148.29,148.56,418511.0,148.456,1504
2025-02-27 10:45:00-05:00,148.55,148.74,148.47,148.49,417723.0,148.608,1267
2025-02-27 11:00:00-05:00,148.5,148.66,148.43,148.53,97468.0,148.54,576
2025-02-27 11:15:00-05:00,148.53,148.71,148.39,148.47,113393.0,148.564,756
2025-02-27 11:30:00-05:00,148.46,148.63,148.34,148.35,92974.0,148.515,654
2025-02-27 11:45:00-05:00,148.34,148.36,148.15,148.18,134425.0,148.26,654
2025-02-27 12:00:00-05:00,148.17,148.25,148.0,148.06,110355.0,148.113,687
2025-02-27 12:15:00-05:00,148.06,148.4,147.96,148.39,96037.0,148.111,648
2025-02-27 12:30:00-05:00,148.4,148.51,148.14,148.21,74475.0,148.354,502
2025-02-27 12:45:00-05:00,148.21,148.27,148.04,148.15,315070.0,148.219,1018
2025-02-27 13:00:00-05:00,148.16,148.35,148.08,148.19,130398.0,148.208,857
2025-02-27 13:15:00-05:00,148.19,148.29,148.11,148.12,90465.0,148.23,571
2025-02-27 13:30:00-05:00,148.12,148.31,148.06,148.17,117666.0,148.212,510
2025-02-27 13:45:00-05:00,148.17,148.23,148.04,148.05,100805.0,148.173,604
2025-02-27 14:00:00-05:00,148.06,148.09,147.94,147.96,202363.0,148.028,1039
2025-02-27 14:15:00-05:00,147.96,148.07,147.83,147.85,116976.0,147.973,760
2025-02-27 14:30:00-05:00,147.85,147.85,147.47,147.52,247817.0,147.645,1495
2025-02-27 14:45:00-05:00,147.53,147.74,147.43,147.7,220922.0,147.6,1299
2025-02-27 15:00:00-05:00,147.69,147.7,147.39,147.44,160888.0,147.549,1076
2025-02-27 15:15:00-05:00,147.44,147.64,147.3,147.32,315568.0,147.454,1821
2025-02-27 15:30:00-05:00,147.33,147.57,147.27,147.43,250551.0,147.4,1404
2025-02-27 15:45:00-05:00,147.43,147.55,147.16,147.26,831712.0,147.275,4463
2025-02-28 09:30:00-05:00,147.46,148.3,147.38,147.51,398077.0,147.862,2269
2025-02-28 09:45:00-05:00,147.52,147.78,147.13,147.78,301528.0,147.437,1935
2025-02-28 10:00:00-05:00,147.78,147.87,147.01,147.05,275662.0,147.468,1867
2025-02-28 10:15:00-05:00,147.04,147.16,146.68,146.95,354048.0,146.985,1647
2025-02-28 10:30:00-05:00,146.94,147.2,146.93,146.95,177197.0,147.066,1242
2025-02-28 10:45:00-05:00,146.95,147.26,146.87,147.19,220302.0,147.022,1482
2025-02-28 11:00:00-05:00,147.2,147.24,147.03,147.1,218795.0,147.128,1239
2025-02-28 11:15:00-05:00,147.1,147.12,146.81,146.85,225553.0,147.004,1098
2025-02-28 11:30:00-05:00,146.85,147.2,146.84,147.16,119016.0,147.063,729
2025-02-28 11:45:00-05:00,147.15,147.27,147.09,147.14,76354.0,147.185,542
2025-02-28 12:00:00-05:00,147.16,147.28,146.95,147.22,102812.0,147.031,455
2025-02-28 12:15:00-05:00,147.23,147.24,146.94,146.95,88441.0,147.131,515
2025-02-28 12:30:00-05:00,146.97,146.97,146.67,146.76,169340.0,146.822,946
2025-02-28 12:45:00-05:00,146.77,146.85,146.6,146.69,217336.0,146.721,1315
2025-02-28 13:00:00-05:00,146.68,146.77,146.52,146.7,141602.0,146.646,879
2025-02-28 13:15:00-05:00,146.7,146.75,146.49,146.71,162124.0,146.603,1099
2025-02-28 13:30:00-05:00,146.71,147.0,146.68,146.92,124973.0,146.802,833
2025-02-28 13:45:00-05:00,146.91,147.12,146.66,146.7,99469.0,146.916,589
2025-02-28 14:00:00-05:00,146.67,147.11,146.67,147.02,79908.0,146.978,496
2025-02-28 14:15:00-05:00,147.02,147.28,146.98,147.26,80030.0,147.139,560
2025-02-28 14:30:00-05:00,147.26,147.54,147.22,147.48,99504.0,147.426,781
2025-02-28 14:45:00-05:00,147.48,147.67,147.46,147.62,154395.0,147.561,1039
2025-02-28 15:00:00-05:00,147.62,147.78,147.57,147.7,335841.0,147.703,1688
2025-02-28 15:15:00-05:00,147.69,147.94,147.57,147.94,246611.0,147.722,1125
2025-02-28 15:30:00-05:00,147.92,148.3,147.78,148.27,288937.0,148.009,1704
2025-02-28 15:45:00-05:00,148.25,149.16,148.2,148.98,1212665.0,148.745,6279
2025-03-03 09:30:00-05:00,149.02,149.96,149.02,149.65,652690.0,149.489,3521
2025-03-03 09:45:00-05:00,149.63,150.1,149.4,149.9,347114.0,149.781,2034
2025-03-03 10:00:00-05:00,149.9,150.02,149.61,149.61,331282.0,149.8,1544
2025-03-03 10:15:00-05:00,149.57,149.94,149.48,149.87,479281.0,149.769,1704
2025-03-03 10:30:00-05:00,149.85,149.97,149.64,149.94,287460.0,149.8,1526
2025-03-03 10:45:00-05:00,149.92,149.92,149.59,149.71,306662.0,149.708,1563
2025-03-03 11:00:00-05:00,149.71,149.83,149.55,149.62,223009.0,149.717,1177
2025-03-03 11:15:00-05:00,149.62,150.07,149.59,149.79,176609.0,149.847,980
2025-03-03 11:30:00-05:00,149.79,149.95,149.65,149.68,299936.0,149.836,1151
2025-03-03 11:45:00-05:00,149.68,150.01,149.67,149.9,119732.0,149.896,738
2025-03-03 12:00:00-05:00,149.89,150.17,149.84,150.1,135531.0,150.014,664
2025-03-03 12:15:00-05:00,150.11,150.31,150.04,150.21,74417.0,150.199,537
2025-03-03 12:30:00-05:00,150.21,150.27,150.12,150.23,148566.0,150.215,904
2025-03-03 12:45:00-05:00,150.24,150.32,150.1,150.14,110604.0,150.184,580
2025-03-03 13:00:00-05:00,150.13,150.14,149.91,149.97,180103.0,150.047,874
2025-03-03 13:15:00-05:00,149.97,150.04,149.79,149.89,301250.0,149.95,1653
2025-03-03 13:30:00-05:00,149.9,149.96,149.64,149.85,202202.0,149.795,1107
2025-03-03 13:45:00-05:00,149.84,149.88,149.54,149.66,206055.0,149.748,1206
2025-03-03 14:00:00-05:00,149.66,149.82,149.63,149.72,176756.0,149.712,705
2025-03-03 14:15:00-05:00,149.73,149.76,149.6,149.63,121891.0,149.649,527
2025-03-03 14:30:00-05:00,149.63,150.03,149.62,149.99,121980.0,149.812,713
2025-03-03 14:45:00-05:00,149.98,149.98,149.35,149.43,441826.0,149.512,2116
2025-03-03 15:00:00-05:00,149.42,149.42,148.96,149.13,313343.0,149.179,1719
2025-03-03 15:15:00-05:00,149.13,149.44,149.02,149.16,397557.0,149.239,2149
2025-03-03 15:30:00-05:00,149.18,149.29,148.96,149.25,522638.0,149.175,2683
2025-03-03 15:45:00-05:00,149.25,149.61,149.2,149.6,1063507.0,149.438,5668
2025-03-04 09:30:00-05:00,149.79,150.07,149.33,149.58,779530.0,149.822,4191
2025-03-04 09:45:00-05:00,149.57,149.81,149.38,149.5,539621.0,149.599,2198
2025-03-04 10:00:00-05:00,149.45,149.83,149.29,149.32,465895.0,149.585,2990
2025-03-04 10:15:00-05:00,149.33,149.68,149.29,149.57,438445.0,149.449,2805
2025-03-04 10:30:00-05:00,149.56,149.65,149.03,149.17,479168.0,149.292,2761
2025-03-04 10:45:00-05:00,149.17,149.17,148.38,148.7,467975.0,148.714,2768
2025-03-04 11:00:00-05:00,148.7,148.97,148.49,148.88,420779.0,148.715,2306
2025-03-04 11:15:00-05:00,148.85,148.89,148.63,148.86,406646.0,148.77,2323
2025-03-04 11:30:00-05:00,148.87,149.01,148.67,148.98,315420.0,148.874,2025
2025-03-04 11:45:00-05:00,148.97,149.14,148.88,148.98,263086.0,149.024,1398
2025-03-04 12:00:00-05:00,148.97,149.05,148.78,148.83,153937.0,148.895,961
2025-03-04 12:15:00-05:00,148.84,148.94,148.68,148.72,214831.0,148.783,1302
2025-03-04 12:30:00-05:00,148.73,148.98,148.64,148.81,230418.0,148.844,1471
2025-03-04 12:45:00-05:00,148.81,148.86,148.33,148.39,158592.0,148.627,842
2025-03-04 13:00:00-05:00,148.41,148.83,148.37,148.77,171831.0,148.559,1041
2025-03-04 13:15:00-05:00,148.79,148.79,148.5,148.61,92515.0,148.619,599
2025-03-04 13:30:00-05:00,148.61,148.85,148.51,148.79,111533.0,148.654,711
2025-03-04 13:45:00-05:00,148.8,149.08,148.8,149.02,150765.0,148.951,764
2025-03-04 14:00:00-05:00,149.02,149.29,148.97,149.07,163742.0,149.153,1029
2025-03-04 14:15:00-05:00,149.07,149.24,148.77,148.89,147483.0,149.048,981
2025-03-04 14:30:00-05:00,148.92,149.12,148.82,149.03,194284.0,148.971,1091
2025-03-04 14:45:00-05:00,149.04,149.3,149.0,149.25,171814.0,149.186,1040
2025-03-04 15:00:00-05:00,149.24,149.38,148.98,149.01,547722.0,149.12,883
2025-03-04 15:15:00-05:00,149.0,149.44,148.99,149.24,254745.0,149.236,1426
2025-03-04 15:30:00-05:00,149.23,149.25,148.68,148.86,270378.0,148.951,1789
2025-03-04 15:45:00-05:00,148.87,148.96,147.96,148.22,926038.0,148.357,4965
2025-03-05 09:30:00-05:00,147.52,149.39,147.24,149.22,476841.0,148.717,2804
2025-03-05 09:45:00-05:00,149.21,149.45,148.81,148.81,331231.0,149.217,1891
2025-03-05 10:00:00-05:00,148.82,149.36,148.72,149.27,323805.0,149.039,1832
2025-03-05 10:15:00-05:00,149.25,149.27,148.62,148.64,158088.0,148.92,931
2025-03-05 10:30:00-05:00,148.64,148.92,148.48,148.63,150335.0,148.654,786
2025-03-05 10:45:00-05:00,148.63,148.75,148.53,148.67,138476.0,148.654,823
2025-03-05 11:00:00-05:00,148.67,148.68,148.3,148.5,104772.0,148.441,569
2025-03-05 11:15:00-05:00,148.5,148.51,148.28,148.48,215635.0,148.357,876
2025-03-05 11:30:00-05:00,148.47,148.47,148.21,148.27,136765.0,148.363,658
2025-03-05 11:45:00-05:00,148.27,148.53,148.11,148.44,223261.0,148.276,1396
2025-03-05 12:00:00-05:00,148.42,148.75,148.42,148.56,149579.0,148.634,806
2025-03-05 12:15:00-05:00,148.56,148.94,148.56,148.94,120316.0,148.729,725
2025-03-05 12:30:00-05:00,148.95,149.01,148.85,148.88,98937.0,148.91,643
2025-03-05 12:45:00-05:00,148.89,149.1,148.75,149.07,165378.0,148.922,888
2025-03-05 13:00:00-05:00,149.07,149.21,148.66,148.75,304970.0,148.959,1527
2025-03-05 13:15:00-05:00,148.74,148.94,148.7,148.86,305172.0,148.836,780
2025-03-05 13:30:00-05:00,148.86,148.89,148.65,148.67,234174.0,148.832,672
2025-03-05 13:45:00-05:00,148.68,149.31,148.68,149.31,230668.0,149.143,868
2025-03-05 14:00:00-05:00,149.3,149.82,149.29,149.76,374147.0,149.697,1033
2025-03-05 14:15:00-05:00,149.76,149.84,149.52,149.72,198672.0,149.725,1208
2025-03-05 14:30:00-05:00,149.74,149.87,149.61,149.7,135869.0,149.769,828
2025-03-05 14:45:00-05:00,149.71,149.9,149.62,149.62,104693.0,149.806,642
2025-03-05 15:00:00-05:00,149.64,149.91,149.64,149.77,182279.0,149.806,966
2025-03-05 15:15:00-05:00,149.77,149.91,149.55,149.86,350268.0,149.751,1779
2025-03-05 15:30:00-05:00,149.84,149.88,149.61,149.75,272692.0,149.742,1693
2025-03-05 15:45:00-05:00,149.75,149.85,149.34,149.64,887245.0,149.706,4982
2025-03-06 09:30:00-05:00,149.0,149.45,148.84,148.96,527942.0,149.094,3264
2025-03-06 09:45:00-05:00,148.96,149.07,148.36,148.38,272369.0,148.682,1788
2025-03-06 10:00:00-05:00,148.38,149.1,148.17,148.99,232420.0,148.603,1668
2025-03-06 10:15:00-05:00,148.98,149.02,148.6,148.85,190008.0,148.785,1352
2025-03-06 10:30:00-05:00,148.87,149.13,148.84,149.07,155958.0,149.001,986
2025-03-06 10:45:00-05:00,149.06,149.14,148.77,149.1,131943.0,148.932,871
2025-03-06 11:00:00-05:00,149.13,149.41,149.12,149.27,113260.0,149.286,777
2025-03-06 11:15:00-05:00,149.28,149.41,149.11,149.26,203975.0,149.258,1165
2025-03-06 11:30:00-05:00,149.26,149.48,149.05,149.16,150841.0,149.259,742
2025-03-06 11:45:00-05:00,149.16,149.28,148.68,148.75,157391.0,148.965,907
2025-03-06 12:00:00-05:00,148.75,148.77,148.33,148.33,153376.0,148.566,900
2025-03-06 12:15:00-05:00,148.34,148.74,148.34,148.38,125178.0,148.496,784
2025-03-06 12:30:00-05:00,148.4,148.52,148.14,148.3,179231.0,148.356,1051
2025-03-06 12:45:00-05:00,148.31,148.56,148.08,148.51,215462.0,148.259,1241
2025-03-06 13:00:00-05:00,148.5,148.51,148.2,148.44,97243.0,148.371,678
2025-03-06 13:15:00-05:00,148.45,148.69,148.3,148.32,128008.0,148.555,878
2025-03-06 13:30:00-05:00,148.31,148.39,147.93,148.12,153736.0,148.107,870
2025-03-06 13:45:00-05:00,148.12,148.42,148.07,148.27,152502.0,148.215,994
2025-03-06 14:00:00-05:00,148.27,148.59,148.25,148.51,114601.0,148.405,776
2025-03-06 14:15:00-05:00,148.49,148.56,148.35,148.55,205870.0,148.483,1342
2025-03-06 14:30:00-05:00,148.54,149.09,148.5,148.95,238925.0,148.785,1441
2025-03-06 14:45:00-05:00,148.95,149.31,148.69,148.71,265114.0,149.099,1726
2025-03-06 15:00:00-05:00,148.71,149.04,148.67,149.02,272849.0,148.865,1701
2025-03-06 15:15:00-05:00,149.01,149.25,148.92,149.22,193982.0,149.07,1075
2025-03-06 15:30:00-05:00,149.24,149.45,148.95,149.0,214781.0,149.144,1311
2025-03-06 15:45:00-05:00,148.98,149.38,148.96,149.27,720634.0,149.23,3819
2025-03-07 09:30:00-05:00,148.6,149.37,148.44,149.24,334273.0,148.785,2000
2025-03-07 09:45:00-05:00,149.24,149.73,149.13,149.29,277269.0,149.375,1718
2025-03-07 10:00:00-05:00,149.28,149.37,149.04,149.13,208583.0,149.215,1292
2025-03-07 10:15:00-05:00,149.09,149.51,148.83,149.44,273050.0,149.194,1473
2025-03-07 10:30:00-05:00,149.39,149.46,148.85,148.91,360498.0,149.048,2315
2025-03-07 10:45:00-05:00,148.9,149.52,148.87,149.02,473213.0,149.108,3095
2025-03-07 11:00:00-05:00,149.05,149.33,149.02,149.24,314768.0,149.18,1833
2025-03-07 11:15:00-05:00,149.26,149.32,148.72,148.83,293198.0,148.99,1626
2025-03-07 11:30:00-05:00,148.83,148.97,148.52,148.66,330552.0,148.75,2363
2025-03-07 11:45:00-05:00,148.64,149.2,148.62,149.15,279466.0,148.807,1739
2025-03-07 12:00:00-05:00,149.16,149.25,148.67,148.99,241771.0,148.998,1393
2025-03-07 12:15:00-05:00,148.99,149.05,148.74,149.02,120396.0,148.95,768
2025-03-07 12:30:00-05:00,149.03,149.63,148.96,149.63,231228.0,149.324,1307
2025-03-07 12:45:00-05:00,149.61,149.84,149.48,149.49,272225.0,149.718,1217
2025-03-07 13:00:00-05:00,149.5,150.06,149.49,150.02,169031.0,149.82,1111
2025-03-07 13:15:00-05:00,150.03,150.1,149.7,149.83,87649.0,149.944,661
2025-03-07 13:30:00-05:00,149.84,149.97,149.64,149.83,139444.0,149.827,973
