trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-01-03T09:50:00-05:00,OKLO,BUY,Breakout > $23.60 | ADX=38.0 | RSI=90.8 | Vol spike 1.5x | SPY bullish | SL=$23.50 | TP=$24.53,4194,23.84,1.0,,
2,2025-01-03T10:00:00-05:00,OKLO,SELL,Take profit hit at $24.59 (TP: $24.53),4194,24.59,1.0,3144.5,3.144941549793591
3,2025-01-03T10:05:00-05:00,OKLO,BUY,Breakout > $24.59 | ADX=46.1 | RSI=92.8 | Vol spike 1.5x | SPY bullish | SL=$24.27 | TP=$25.54,4062,24.69,1.0,,
4,2025-01-03T10:10:00-05:00,OKLO,SELL,Price $24.30 < 5-SMA $24.31,4062,24.3,1.0,-1585.1800000000023,-1.5805682180533662
5,2025-01-14T13:50:00-05:00,OKLO,BUY,Breakout > $23.88 | ADX=54.1 | RSI=93.0 | Vol spike 1.5x | SPY bullish | SL=$23.78 | TP=$24.21,4187,23.92,1.0,,
6,2025-01-14T14:05:00-05:00,OKLO,SELL,Price $23.85 < 5-SMA $23.89,4187,23.85,1.0,-294.09000000000117,-0.29363768051693284
7,2025-01-21T11:20:00-05:00,OKLO,BUY,Breakout > $29.98 | ADX=48.2 | RSI=92.0 | Vol spike 1.5x | SPY bullish | SL=$29.78 | TP=$31.31,3305,30.29,1.0,,
8,2025-01-21T11:55:00-05:00,OKLO,SELL,Price $30.69 < 5-SMA $30.81,3305,30.69,1.0,1321.000000000007,1.3195557462357521
9,2025-01-30T09:45:00-05:00,OKLO,BUY,Breakout > $39.28 | ADX=42.1 | RSI=90.9 | Vol spike 1.5x | SPY bullish | SL=$38.81 | TP=$41.20,2531,39.61,1.0,,
10,2025-01-30T09:50:00-05:00,OKLO,SELL,Stop loss hit at $38.36 (SL: $38.81),2531,38.36,1.0,-3164.75,-3.156734734834781
11,2025-02-07T09:45:00-05:00,OKLO,BUY,Breakout > $56.94 | ADX=49.4 | RSI=98.6 | Vol spike 1.5x | SPY bullish | SL=$57.01 | TP=$60.42,1718,58.15,1.0,,
12,2025-02-07T10:00:00-05:00,OKLO,SELL,Stop loss hit at $55.97 (SL: $57.01),1718,55.97,1.0,-3746.2399999999993,-3.7498886416483233
13,2025-03-17T09:35:00-04:00,OKLO,BUY,Breakout > $28.77 | ADX=54.2 | RSI=90.2 | Vol spike 1.5x | SPY bullish | SL=$28.71 | TP=$29.64,3430,29.02,1.0,,
14,2025-03-17T10:00:00-04:00,OKLO,SELL,Price $29.17 < 5-SMA $29.18,3430,29.17,1.0,513.5000000000073,0.515875088909346
15,2025-04-22T09:45:00-04:00,OKLO,BUY,Breakout > $21.05 | ADX=42.2 | RSI=94.4 | Vol spike 1.5x | SPY bullish | SL=$21.22 | TP=$21.76,4655,21.4,1.0,,
16,2025-04-22T10:05:00-04:00,OKLO,SELL,Price $21.41 < 5-SMA $21.45,4655,21.41,1.0,45.55000000000727,0.045724668232656016
17,2025-05-01T09:30:00-04:00,OKLO,BUY,Breakout > $23.81 | ADX=26.9 | RSI=90.9 | Vol spike 1.5x | SPY bullish | SL=$24.89 | TP=$25.60,3964,25.13,1.0,,
18,2025-05-01T09:35:00-04:00,OKLO,SELL,Stop loss hit at $24.60 (SL: $24.89),3964,24.6,1.0,-2101.9199999999905,-2.110015708269479
19,2025-05-09T15:05:00-04:00,OKLO,BUY,Breakout > $27.09 | ADX=53.4 | RSI=90.7 | Vol spike 1.5x | SPY bullish | SL=$28.10 | TP=$28.67,3514,28.29,1.0,,
20,2025-05-09T15:10:00-04:00,OKLO,SELL,Stop loss hit at $28.09 (SL: $28.10),3514,28.09,1.0,-703.7999999999975,-0.7079623940998682
21,2025-05-13T09:35:00-04:00,OKLO,BUY,Breakout > $30.33 | ADX=43.4 | RSI=94.2 | Vol spike 1.5x | SPY bullish | SL=$30.57 | TP=$31.57,3214,30.9,1.0,,
22,2025-05-13T09:55:00-04:00,OKLO,SELL,Price $30.72 < 5-SMA $30.82,3214,30.72,1.0,-579.5199999999991,-0.5835253177812496
23,2025-05-23T10:10:00-04:00,OKLO,BUY,Breakout > $49.95 | ADX=66.0 | RSI=91.3 | Vol spike 1.5x | SPY bullish | SL=$49.46 | TP=$53.85,1949,50.92,1.0,,
24,2025-05-23T10:15:00-04:00,OKLO,SELL,Stop loss hit at $49.38 (SL: $49.46),1949,49.38,1.0,-3002.459999999998,-3.0253290674869455
25,2025-06-11T10:05:00-04:00,OKLO,BUY,Breakout > $62.09 | ADX=49.6 | RSI=90.2 | Vol spike 1.5x | SPY bullish | SL=$61.07 | TP=$65.02,1586,62.39,1.0,,
26,2025-06-11T10:35:00-04:00,OKLO,SELL,Take profit hit at $66.00 (TP: $65.02),1586,66.0,1.0,5724.459999999999,5.785114612667977
27,2025-06-24T09:30:00-04:00,OKLO,BUY,Breakout > $55.28 | ADX=35.6 | RSI=91.8 | Vol spike 1.5x | SPY bullish | SL=$57.83 | TP=$59.71,1702,58.46,1.0,,
28,2025-06-24T09:35:00-04:00,OKLO,SELL,Stop loss hit at $57.65 (SL: $57.83),1702,57.65,1.0,-1379.620000000004,-1.3865538786362883
29,2025-07-09T15:10:00-04:00,OKLO,BUY,Breakout > $53.63 | ADX=39.1 | RSI=92.0 | Vol spike 1.5x | SPY bullish | SL=$53.64 | TP=$54.29,1845,53.86,1.0,,
30,2025-07-09T15:25:00-04:00,OKLO,SELL,Price $53.73 < 5-SMA $53.78,1845,53.73,1.0,-240.8500000000047,-0.24237038945304365
