timestamp,symbol,action,quantity,price,commission,pnl
2025-05-21T10:45:00-04:00,OKLO,BUY,2495,38.07,1.0,
2025-05-21T10:46:00-04:00,OKLO,SELL,2495,37.91,1.0,-400.2000000000092
2025-05-21T11:22:00-04:00,OKLO,BUY,2459,38.47,1.0,
2025-05-21T11:26:00-04:00,OKLO,SELL,2459,38.36,1.0,-271.4899999999986
2025-05-21T12:28:00-04:00,OKLO,BUY,2450,38.5,1.0,
2025-05-21T12:32:00-04:00,OKLO,SELL,2450,38.73,1.0,562.4999999999924
2025-05-21T12:33:00-04:00,OKLO,BUY,2443,38.84,1.0,
2025-05-21T12:36:00-04:00,OKLO,SELL,2443,38.73,1.0,-269.730000000016
2025-05-21T12:43:00-04:00,OKLO,BUY,2426,39.0,1.0,
2025-05-21T12:45:00-04:00,OKLO,SELL,2426,38.89,1.0,-267.85999999999865
2025-05-21T12:51:00-04:00,OKLO,BUY,2405,39.23,1.0,
2025-05-21T12:55:00-04:00,OKLO,SELL,2405,39.22,1.0,-25.049999999995215
2025-05-21T15:55:00-04:00,OKLO,BUY,2575,36.64,1.0,
2025-05-22T09:30:00-04:00,OKLO,SELL,2575,36.56,1.0,-206.99999999999562
2025-05-22T09:49:00-04:00,OKLO,BUY,2548,36.95,1.0,
2025-05-22T09:59:00-04:00,OKLO,SELL,2548,37.23,1.0,712.4399999999848
2025-05-22T10:07:00-04:00,OKLO,BUY,2489,38.09,1.0,
2025-05-22T10:08:00-04:00,OKLO,SELL,2489,37.87,1.0,-548.5800000000148
2025-05-22T10:32:00-04:00,OKLO,BUY,2454,38.42,1.0,
2025-05-22T10:35:00-04:00,OKLO,SELL,2454,38.32,1.0,-246.4000000000035
2025-05-22T10:50:00-04:00,OKLO,BUY,2428,38.74,1.0,
2025-05-22T10:51:00-04:00,OKLO,SELL,2428,38.57,1.0,-413.76000000000414
2025-05-22T11:02:00-04:00,OKLO,BUY,2406,38.93,1.0,
2025-05-22T11:05:00-04:00,OKLO,SELL,2406,38.82,1.0,-265.6599999999986
2025-05-22T11:08:00-04:00,OKLO,BUY,2395,39.0,1.0,
2025-05-22T11:12:00-04:00,OKLO,SELL,2395,39.43,1.0,1028.8499999999992
2025-05-22T11:20:00-04:00,OKLO,BUY,2386,39.56,1.0,
2025-05-22T11:24:00-04:00,OKLO,SELL,2386,40.11,1.0,1311.2999999999931
2025-05-22T12:30:00-04:00,OKLO,BUY,2426,39.42,1.0,
2025-05-22T12:31:00-04:00,OKLO,SELL,2426,39.27,1.0,-364.89999999999657
2025-05-22T13:30:00-04:00,OKLO,BUY,2424,39.31,1.0,
2025-05-22T13:31:00-04:00,OKLO,SELL,2424,39.18,1.0,-316.1200000000062
2025-05-22T13:34:00-04:00,OKLO,BUY,2410,39.42,1.0,
2025-05-22T13:37:00-04:00,OKLO,SELL,2410,39.32,1.0,-242.0000000000034
2025-05-22T13:38:00-04:00,OKLO,BUY,2398,39.52,1.0,
2025-05-22T13:44:00-04:00,OKLO,SELL,2398,39.82,1.0,718.3999999999932
2025-05-22T13:46:00-04:00,OKLO,BUY,2388,39.97,1.0,
2025-05-22T13:49:00-04:00,OKLO,SELL,2388,40.24,1.0,643.7600000000075
2025-05-23T09:30:00-04:00,OKLO,BUY,2176,44.13,1.0,
2025-05-23T09:34:00-04:00,OKLO,SELL,2176,45.92,1.0,3894.039999999998
2025-05-23T09:37:00-04:00,OKLO,BUY,2144,46.53,1.0,
2025-05-23T09:39:00-04:00,OKLO,SELL,2144,45.27,1.0,-2702.439999999996
2025-05-23T09:53:00-04:00,OKLO,BUY,2022,48.06,1.0,
2025-05-23T09:56:00-04:00,OKLO,SELL,2022,47.51,1.0,-1113.1000000000085
2025-05-23T10:00:00-04:00,OKLO,BUY,1968,48.84,1.0,
2025-05-23T10:06:00-04:00,OKLO,SELL,1968,49.11,1.0,530.3599999999922
2025-05-23T11:22:00-04:00,OKLO,BUY,1856,52.06,1.0,
2025-05-23T11:26:00-04:00,OKLO,SELL,1856,51.42,1.0,-1188.840000000001
2025-05-23T12:52:00-04:00,OKLO,BUY,1918,49.77,1.0,
2025-05-23T12:54:00-04:00,OKLO,SELL,1918,49.71,1.0,-116.08000000000436
2025-05-23T15:10:00-04:00,OKLO,BUY,1862,51.23,1.0,
2025-05-23T15:13:00-04:00,OKLO,SELL,1862,50.97,1.0,-485.1199999999963
2025-05-27T10:25:00-04:00,OKLO,BUY,1875,50.63,1.0,
2025-05-27T10:30:00-04:00,OKLO,SELL,1875,50.57,1.0,-113.50000000000426
2025-05-27T10:54:00-04:00,OKLO,BUY,1874,50.6,1.0,
2025-05-27T10:55:00-04:00,OKLO,SELL,1874,50.28,1.0,-600.6800000000005
2025-05-27T10:57:00-04:00,OKLO,BUY,1830,51.5,1.0,
2025-05-27T11:01:00-04:00,OKLO,SELL,1830,50.85,1.0,-1190.4999999999975
2025-05-27T11:07:00-04:00,OKLO,BUY,1798,51.78,1.0,
2025-05-27T11:10:00-04:00,OKLO,SELL,1798,51.52,1.0,-468.47999999999644
2025-05-27T11:36:00-04:00,OKLO,BUY,1770,52.34,1.0,
2025-05-27T11:43:00-04:00,OKLO,SELL,1770,52.58,1.0,423.799999999991
2025-05-27T13:44:00-04:00,OKLO,BUY,1725,53.95,1.0,
2025-05-27T13:48:00-04:00,OKLO,SELL,1725,53.83,1.0,-208.00000000000784
2025-05-27T13:56:00-04:00,OKLO,BUY,1710,54.31,1.0,
2025-05-27T14:02:00-04:00,OKLO,SELL,1710,54.11,1.0,-343.0000000000049
2025-05-28T09:30:00-04:00,OKLO,BUY,1675,55.23,1.0,
2025-05-28T09:31:00-04:00,OKLO,SELL,1675,56.26,1.0,1724.2500000000018
2025-05-28T10:33:00-04:00,OKLO,BUY,1680,56.05,1.0,
2025-05-28T10:37:00-04:00,OKLO,SELL,1680,55.79,1.0,-437.79999999999666
2025-05-28T10:53:00-04:00,OKLO,BUY,1662,56.39,1.0,
2025-05-28T10:59:00-04:00,OKLO,SELL,1662,56.32,1.0,-117.34000000000047
2025-05-28T11:12:00-04:00,OKLO,BUY,1643,57.0,1.0,
2025-05-28T11:16:00-04:00,OKLO,SELL,1643,57.0,1.0,-1.0
2025-05-28T13:21:00-04:00,OKLO,BUY,1697,55.18,1.0,
2025-05-28T13:27:00-04:00,OKLO,SELL,1697,55.73,1.0,932.3499999999951
2025-05-28T13:43:00-04:00,OKLO,BUY,1678,56.33,1.0,
2025-05-28T13:53:00-04:00,OKLO,SELL,1678,56.48,1.0,250.6999999999976
2025-05-29T11:29:00-04:00,OKLO,BUY,1739,54.48,1.0,
2025-05-29T11:30:00-04:00,OKLO,SELL,1739,54.29,1.0,-331.40999999999605
2025-05-29T12:45:00-04:00,OKLO,BUY,1748,54.02,1.0,
2025-05-29T12:52:00-04:00,OKLO,SELL,1748,54.0,1.0,-35.960000000005465
2025-05-29T13:03:00-04:00,OKLO,BUY,1735,54.42,1.0,
2025-05-29T13:05:00-04:00,OKLO,SELL,1735,54.26,1.0,-278.6000000000064
2025-05-29T13:12:00-04:00,OKLO,BUY,1725,54.57,1.0,
2025-05-29T13:17:00-04:00,OKLO,SELL,1725,54.73,1.0,274.9999999999941
2025-05-29T13:21:00-04:00,OKLO,BUY,1716,55.01,1.0,
2025-05-29T13:24:00-04:00,OKLO,SELL,1716,54.82,1.0,-327.0399999999961
2025-05-30T14:09:00-04:00,OKLO,BUY,1835,51.28,1.0,
2025-05-30T14:18:00-04:00,OKLO,SELL,1835,51.43,1.0,274.2499999999974
2025-05-30T14:21:00-04:00,OKLO,BUY,1818,51.9,1.0,
2025-05-30T14:27:00-04:00,OKLO,SELL,1818,51.82,1.0,-146.4399999999969
2025-05-30T15:25:00-04:00,OKLO,BUY,1821,51.73,1.0,
2025-05-30T15:27:00-04:00,OKLO,SELL,1821,51.66,1.0,-128.4700000000005
2025-05-30T15:35:00-04:00,OKLO,BUY,1812,51.93,1.0,
2025-05-30T15:40:00-04:00,OKLO,SELL,1812,51.88,1.0,-91.59999999999485
2025-05-30T15:46:00-04:00,OKLO,BUY,1800,52.22,1.0,
2025-05-30T15:50:00-04:00,OKLO,SELL,1800,52.68,1.0,827.0000000000016
2025-05-30T15:51:00-04:00,OKLO,BUY,1796,52.76,1.0,
2025-05-30T15:57:00-04:00,OKLO,SELL,1796,52.81,1.0,88.80000000000766
2025-06-02T09:35:00-04:00,OKLO,BUY,1776,53.4,1.0,
2025-06-02T09:38:00-04:00,OKLO,SELL,1776,52.62,1.0,-1386.280000000002
2025-06-02T11:44:00-04:00,OKLO,BUY,1764,53.03,1.0,
2025-06-02T11:46:00-04:00,OKLO,SELL,1764,52.73,1.0,-530.2000000000075
2025-06-02T13:59:00-04:00,OKLO,BUY,1779,52.29,1.0,
2025-06-02T14:02:00-04:00,OKLO,SELL,1779,52.1,1.0,-339.00999999999596
2025-06-02T14:07:00-04:00,OKLO,BUY,1765,52.52,1.0,
2025-06-02T14:09:00-04:00,OKLO,SELL,1765,52.37,1.0,-265.75000000001
2025-06-02T14:10:00-04:00,OKLO,BUY,1757,52.63,1.0,
2025-06-02T14:12:00-04:00,OKLO,SELL,1757,52.41,1.0,-387.5400000000105
2025-06-03T09:30:00-04:00,OKLO,BUY,1616,57.0,1.0,
2025-06-03T09:31:00-04:00,OKLO,SELL,1616,58.3,1.0,2099.7999999999956
2025-06-04T09:32:00-04:00,OKLO,BUY,1864,50.49,1.0,
2025-06-04T09:34:00-04:00,OKLO,SELL,1864,50.78,1.0,539.5599999999984
2025-06-04T11:16:00-04:00,OKLO,BUY,2014,46.98,1.0,
2025-06-04T11:21:00-04:00,OKLO,SELL,2014,46.85,1.0,-262.81999999999084
2025-06-04T11:37:00-04:00,OKLO,BUY,1991,47.4,1.0,
2025-06-04T11:44:00-04:00,OKLO,SELL,1991,47.5,1.0,198.10000000000284
2025-06-04T12:08:00-04:00,OKLO,BUY,1972,47.93,1.0,
2025-06-04T12:09:00-04:00,OKLO,SELL,1972,47.62,1.0,-612.3200000000045
2025-06-04T12:58:00-04:00,OKLO,BUY,1956,48.04,1.0,
2025-06-04T13:02:00-04:00,OKLO,SELL,1956,48.06,1.0,38.120000000006115
2025-06-04T13:26:00-04:00,OKLO,BUY,1944,48.36,1.0,
2025-06-04T13:29:00-04:00,OKLO,SELL,1944,48.34,1.0,-39.879999999992265
2025-06-04T13:51:00-04:00,OKLO,BUY,1925,48.8,1.0,
2025-06-04T13:52:00-04:00,OKLO,SELL,1925,48.74,1.0,-116.4999999999907
2025-06-04T13:54:00-04:00,OKLO,BUY,1920,48.87,1.0,
2025-06-04T13:57:00-04:00,OKLO,SELL,1920,49.09,1.0,421.40000000001146
2025-06-04T14:00:00-04:00,OKLO,BUY,1907,49.42,1.0,
2025-06-04T14:02:00-04:00,OKLO,SELL,1907,49.27,1.0,-287.0499999999973
2025-06-04T15:42:00-04:00,OKLO,BUY,1926,48.78,1.0,
2025-06-04T15:46:00-04:00,OKLO,SELL,1926,49.04,1.0,499.7599999999962
2025-06-05T09:42:00-04:00,OKLO,BUY,1907,49.52,1.0,
2025-06-05T09:44:00-04:00,OKLO,SELL,1907,49.32,1.0,-382.40000000000543
2025-06-05T10:46:00-04:00,OKLO,BUY,1920,49.01,1.0,
2025-06-05T10:48:00-04:00,OKLO,SELL,1920,48.62,1.0,-749.8000000000011
2025-06-06T09:39:00-04:00,OKLO,BUY,1950,47.88,1.0,
2025-06-06T09:43:00-04:00,OKLO,SELL,1950,47.88,1.0,-1.0
2025-06-06T10:41:00-04:00,OKLO,BUY,1923,48.55,1.0,
2025-06-06T10:47:00-04:00,OKLO,SELL,1923,48.65,1.0,191.30000000000274
2025-06-06T10:58:00-04:00,OKLO,BUY,1904,49.12,1.0,
2025-06-06T11:01:00-04:00,OKLO,SELL,1904,48.96,1.0,-305.6399999999935
2025-06-06T11:04:00-04:00,OKLO,BUY,1891,49.3,1.0,
2025-06-06T11:05:00-04:00,OKLO,SELL,1891,49.04,1.0,-492.6599999999962
2025-06-06T11:58:00-04:00,OKLO,BUY,1887,49.16,1.0,
2025-06-06T12:01:00-04:00,OKLO,SELL,1887,49.09,1.0,-133.08999999998713
2025-06-06T12:03:00-04:00,OKLO,BUY,1878,49.34,1.0,
2025-06-06T12:06:00-04:00,OKLO,SELL,1878,49.28,1.0,-113.68000000000427
2025-06-06T12:26:00-04:00,OKLO,BUY,1868,49.54,1.0,
2025-06-06T12:30:00-04:00,OKLO,SELL,1868,49.54,1.0,-1.0
2025-06-06T13:44:00-04:00,OKLO,BUY,1857,49.83,1.0,
2025-06-06T13:47:00-04:00,OKLO,SELL,1857,50.2,1.0,686.0900000000084
2025-06-06T13:48:00-04:00,OKLO,BUY,1853,50.28,1.0,
2025-06-06T13:49:00-04:00,OKLO,SELL,1853,50.1,1.0,-334.53999999999945
2025-06-06T13:54:00-04:00,OKLO,BUY,1844,50.36,1.0,
2025-06-06T13:56:00-04:00,OKLO,SELL,1844,50.23,1.0,-240.72000000000472
2025-06-06T14:11:00-04:00,OKLO,BUY,1835,50.48,1.0,
2025-06-06T14:14:00-04:00,OKLO,SELL,1835,50.44,1.0,-74.39999999999844
2025-06-09T10:30:00-04:00,OKLO,BUY,1789,51.74,1.0,
2025-06-09T10:31:00-04:00,OKLO,SELL,1789,51.46,1.0,-501.920000000002
2025-06-09T10:52:00-04:00,OKLO,BUY,1768,52.1,1.0,
2025-06-09T10:55:00-04:00,OKLO,SELL,1768,51.78,1.0,-566.7600000000004
2025-06-09T11:04:00-04:00,OKLO,BUY,1749,52.36,1.0,
2025-06-09T11:07:00-04:00,OKLO,SELL,1749,52.25,1.0,-193.38999999999902
2025-06-09T13:02:00-04:00,OKLO,BUY,1742,52.44,1.0,
2025-06-09T13:09:00-04:00,OKLO,SELL,1742,52.79,1.0,608.7000000000024
2025-06-09T13:16:00-04:00,OKLO,BUY,1735,53.01,1.0,
2025-06-09T13:20:00-04:00,OKLO,SELL,1735,53.05,1.0,68.39999999999853
2025-06-09T15:02:00-04:00,OKLO,BUY,1731,53.15,1.0,
2025-06-09T15:03:00-04:00,OKLO,SELL,1731,53.02,1.0,-226.02999999999213
2025-06-09T15:06:00-04:00,OKLO,BUY,1725,53.2,1.0,
2025-06-09T15:10:00-04:00,OKLO,SELL,1725,53.54,1.0,585.4999999999936
2025-06-09T15:38:00-04:00,OKLO,BUY,1717,53.8,1.0,
2025-06-09T15:40:00-04:00,OKLO,SELL,1717,54.06,1.0,445.42000000000877
2025-06-09T15:50:00-04:00,OKLO,BUY,1699,54.6,1.0,
2025-06-09T15:53:00-04:00,OKLO,SELL,1699,54.48,1.0,-204.88000000000773
2025-06-10T09:30:00-04:00,OKLO,BUY,1689,54.81,1.0,
2025-06-10T09:31:00-04:00,OKLO,SELL,1689,55.47,1.0,1113.7399999999943
2025-06-10T09:32:00-04:00,OKLO,BUY,1665,56.24,1.0,
2025-06-10T09:33:00-04:00,OKLO,SELL,1665,55.66,1.0,-966.700000000009
2025-06-10T12:21:00-04:00,OKLO,BUY,1764,52.57,1.0,
2025-06-10T12:26:00-04:00,OKLO,SELL,1764,52.48,1.0,-159.76000000000602
