trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-01-02T09:40:00-05:00,OKLO,BUY,Breakout > $21.41 | ADX=34.2 | RSI=84.6 | Vol spike 1.5x | SPY bullish | SL=$21.38 | TP=$22.11,4625,21.62,1.0,,
2,2025-01-02T09:45:00-05:00,OKLO,SELL,Stop loss hit at $21.35 (SL: $21.38),4625,21.35,1.0,-1249.749999999998,-1.249831239030535
3,2025-01-02T11:45:00-05:00,OKLO,BUY,Breakout > $22.30 | ADX=27.1 | RSI=76.6 | Vol spike 1.5x | SPY bullish | SL=$22.11 | TP=$22.95,4460,22.39,1.0,,
4,2025-01-02T12:20:00-05:00,OKLO,SELL,Price $22.58 < 5-SMA $22.59,4460,22.58,1.0,846.3999999999899,0.8475832261837423
5,2025-01-03T09:35:00-05:00,OKLO,BUY,Breakout > $22.81 | ADX=28.5 | RSI=89.8 | Vol spike 1.5x | SPY bullish | SL=$23.06 | TP=$23.89,4282,23.34,1.0,,
6,2025-01-03T09:55:00-05:00,OKLO,SELL,Take profit hit at $24.12 (TP: $23.89),4282,24.12,1.0,3338.960000000005,3.3408683039752356
7,2025-01-03T10:00:00-05:00,OKLO,BUY,Breakout > $24.18 | ADX=43.5 | RSI=92.6 | Vol spike 1.5x | SPY bullish | SL=$24.19 | TP=$25.39,4078,24.59,1.0,,
8,2025-01-03T10:10:00-05:00,OKLO,SELL,Price $24.30 < 5-SMA $24.31,4078,24.3,1.0,-1183.6199999999965,-1.1803266525739846
9,2025-01-03T10:25:00-05:00,OKLO,BUY,Breakout > $24.75 | ADX=53.0 | RSI=84.3 | Vol spike 1.5x | SPY bullish | SL=$24.27 | TP=$25.86,4039,24.8,1.0,,
10,2025-01-03T11:05:00-05:00,OKLO,SELL,Price $25.33 < 5-SMA $25.46,4039,25.33,1.0,2139.66999999999,2.1360771182870315
11,2025-01-06T09:30:00-05:00,OKLO,BUY,Breakout > $27.31 | ADX=23.4 | RSI=76.3 | Vol spike 1.5x | SPY bullish | SL=$28.15 | TP=$29.10,3526,28.47,1.0,,
12,2025-01-06T09:40:00-05:00,OKLO,SELL,Stop loss hit at $27.67 (SL: $28.15),3526,27.67,1.0,-2821.79999999999,-2.810943573729532
13,2025-01-14T09:30:00-05:00,OKLO,BUY,Breakout > $22.97 | ADX=25.4 | RSI=83.1 | Vol spike 1.5x | SPY bullish | SL=$23.63 | TP=$24.32,4195,23.86,1.0,,
14,2025-01-14T09:35:00-05:00,OKLO,SELL,Stop loss hit at $23.60 (SL: $23.63),4195,23.6,1.0,-1091.6999999999916,-1.090678034681495
15,2025-01-14T10:10:00-05:00,OKLO,BUY,Breakout > $24.10 | ADX=45.8 | RSI=71.1 | Vol spike 1.5x | SPY bullish | SL=$23.71 | TP=$25.10,4137,24.17,1.0,,
16,2025-01-14T10:30:00-05:00,OKLO,SELL,Price $23.78 < 5-SMA $24.00,4137,23.78,1.0,-1614.4300000000023,-1.614554482150576
17,2025-01-14T13:40:00-05:00,OKLO,BUY,Breakout > $23.75 | ADX=48.6 | RSI=89.8 | Vol spike 1.5x | SPY bullish | SL=$23.70 | TP=$24.17,4184,23.86,1.0,,
18,2025-01-14T14:05:00-05:00,OKLO,SELL,Price $23.85 < 5-SMA $23.89,4184,23.85,1.0,-42.839999999991676,-0.0429124189982932
19,2025-01-15T10:05:00-05:00,OKLO,BUY,Breakout > $25.56 | ADX=56.9 | RSI=79.2 | Vol spike 1.5x | SPY bullish | SL=$25.08 | TP=$26.68,3898,25.61,1.0,,
20,2025-01-15T10:10:00-05:00,OKLO,SELL,Price $25.27 < 5-SMA $25.27,3898,25.27,1.0,-1326.3199999999995,-1.3285948200508906
21,2025-01-16T15:05:00-05:00,OKLO,BUY,Breakout > $24.42 | ADX=30.1 | RSI=82.7 | Vol spike 1.5x | SPY bullish | SL=$24.41 | TP=$24.83,4060,24.55,1.0,,
22,2025-01-16T15:15:00-05:00,OKLO,SELL,Stop loss hit at $24.28 (SL: $24.41),4060,24.28,1.0,-1097.1999999999982,-1.1007885707406126
23,2025-01-17T09:30:00-05:00,OKLO,BUY,Breakout > $24.59 | ADX=25.3 | RSI=72.9 | Vol spike 1.5x | SPY bullish | SL=$24.99 | TP=$25.74,3945,25.24,1.0,,
24,2025-01-17T09:50:00-05:00,OKLO,SELL,Price $25.05 < 5-SMA $25.12,3945,25.05,1.0,-750.5499999999911,-0.7537701058923634
25,2025-01-17T11:35:00-05:00,OKLO,BUY,Breakout > $26.32 | ADX=47.2 | RSI=76.4 | Vol spike 1.5x | SPY bullish | SL=$26.33 | TP=$27.59,3720,26.75,1.0,,
26,2025-01-17T11:45:00-05:00,OKLO,SELL,Stop loss hit at $26.06 (SL: $26.33),3720,26.06,1.0,-2567.8000000000047,-2.580418245219126
27,2025-01-21T11:20:00-05:00,OKLO,BUY,Breakout > $29.98 | ADX=48.2 | RSI=92.0 | Vol spike 1.5x | SPY bullish | SL=$29.78 | TP=$31.31,3276,30.29,1.0,,
28,2025-01-21T11:55:00-05:00,OKLO,SELL,Price $30.69 < 5-SMA $30.81,3276,30.69,1.0,1309.400000000007,1.3195467869731154
29,2025-01-22T09:30:00-05:00,OKLO,BUY,Breakout > $31.48 | ADX=26.0 | RSI=81.1 | Vol spike 1.5x | SPY bullish | SL=$32.64 | TP=$33.85,3008,33.04,1.0,,
30,2025-01-22T09:35:00-05:00,OKLO,SELL,Stop loss hit at $32.35 (SL: $32.64),3008,32.35,1.0,-2076.519999999993,-2.089362895848193
31,2025-01-22T10:30:00-05:00,OKLO,BUY,Breakout > $33.97 | ADX=40.0 | RSI=75.9 | Vol spike 1.5x | SPY bullish | SL=$33.42 | TP=$36.15,2888,34.33,1.0,,
32,2025-01-22T10:55:00-05:00,OKLO,SELL,Price $33.91 < 5-SMA $34.26,2888,33.91,1.0,-1213.960000000005,-1.224416023070619
