trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-01-03T09:35:00-05:00,OKLO,BUY,Breakout > $22.81 | ADX=30.2 | RSI=89.8 | Vol spike 1.5x | SPY bullish | SL=$23.06 | TP=$23.89,4284,23.34,1.0,,
2,2025-01-03T09:55:00-05:00,OKLO,SELL,Take profit hit at $24.12 (TP: $23.89),4284,24.12,1.0,3340.520000000005,3.340868786701337
3,2025-01-03T10:00:00-05:00,OKLO,BUY,Breakout > $24.18 | ADX=44.7 | RSI=92.6 | Vol spike 1.5x | SPY bullish | SL=$24.19 | TP=$25.39,4080,24.59,1.0,,
4,2025-01-03T10:10:00-05:00,OKLO,SELL,Price $24.30 < 5-SMA $24.31,4080,24.3,1.0,-1184.1999999999966,-1.1803261695116594
5,2025-01-03T10:25:00-05:00,OKLO,BUY,Breakout > $24.75 | ADX=53.8 | RSI=84.3 | Vol spike 1.5x | SPY bullish | SL=$24.27 | TP=$25.86,4040,24.8,1.0,,
6,2025-01-03T11:05:00-05:00,OKLO,SELL,Price $25.33 < 5-SMA $25.46,4040,25.33,1.0,2140.1999999999903,2.136077370674588
7,2025-01-06T09:30:00-05:00,OKLO,BUY,Breakout > $27.31 | ADX=23.4 | RSI=76.3 | Vol spike 1.5x | SPY bullish | SL=$28.15 | TP=$29.10,3527,28.47,1.0,,
8,2025-01-06T09:40:00-05:00,OKLO,SELL,Stop loss hit at $27.67 (SL: $28.15),3527,27.67,1.0,-2822.59999999999,-2.810943299232403
9,2025-01-13T15:55:00-05:00,OKLO,BUY,Breakout > $22.78 | ADX=21.4 | RSI=63.9 | Vol spike 1.5x | SPY bullish | SL=$22.73 | TP=$23.18,4377,22.88,1.0,,
10,2025-01-14T09:30:00-05:00,OKLO,SELL,Take profit hit at $23.86 (TP: $23.18),4377,23.86,1.0,4288.460000000002,4.2821754792666304
11,2025-01-14T10:10:00-05:00,OKLO,BUY,Breakout > $24.10 | ADX=45.8 | RSI=71.1 | Vol spike 1.5x | SPY bullish | SL=$23.71 | TP=$25.10,4161,24.17,1.0,,
12,2025-01-14T10:30:00-05:00,OKLO,SELL,Price $23.78 < 5-SMA $24.00,4161,23.78,1.0,-1623.7900000000025,-1.6145488069934142
13,2025-01-14T13:40:00-05:00,OKLO,BUY,Breakout > $23.75 | ADX=48.6 | RSI=89.8 | Vol spike 1.5x | SPY bullish | SL=$23.70 | TP=$24.17,4208,23.86,1.0,,
14,2025-01-14T14:05:00-05:00,OKLO,SELL,Price $23.85 < 5-SMA $23.89,4208,23.85,1.0,-43.07999999999163,-0.0429067083861616
15,2025-01-15T10:05:00-05:00,OKLO,BUY,Breakout > $25.56 | ADX=56.9 | RSI=79.2 | Vol spike 1.5x | SPY bullish | SL=$25.08 | TP=$26.68,3920,25.61,1.0,,
16,2025-01-15T10:10:00-05:00,OKLO,SELL,Price $25.27 < 5-SMA $25.27,3920,25.27,1.0,-1333.7999999999995,-1.3285892728717963
17,2025-01-16T15:05:00-05:00,OKLO,BUY,Breakout > $24.42 | ADX=30.1 | RSI=82.7 | Vol spike 1.5x | SPY bullish | SL=$24.41 | TP=$24.83,4084,24.55,1.0,,
18,2025-01-16T15:15:00-05:00,OKLO,SELL,Stop loss hit at $24.28 (SL: $24.41),4084,24.28,1.0,-1103.6799999999982,-1.1007827398287688
19,2025-01-17T09:30:00-05:00,OKLO,BUY,Breakout > $24.59 | ADX=25.3 | RSI=72.9 | Vol spike 1.5x | SPY bullish | SL=$24.99 | TP=$25.74,3968,25.24,1.0,,
20,2025-01-17T09:50:00-05:00,OKLO,SELL,Price $25.05 < 5-SMA $25.12,3968,25.05,1.0,-754.919999999991,-0.7537643285314866
21,2025-01-17T10:55:00-05:00,OKLO,BUY,Breakout > $25.69 | ADX=28.9 | RSI=67.9 | Vol spike 1.5x | SPY bullish | SL=$25.83 | TP=$27.24,3805,26.3,1.0,,
22,2025-01-17T11:15:00-05:00,OKLO,SELL,Price $26.10 < 5-SMA $26.11,3805,26.1,1.0,-761.9999999999973,-0.7614479502360761
23,2025-01-17T11:35:00-05:00,OKLO,BUY,Breakout > $26.32 | ADX=47.2 | RSI=76.4 | Vol spike 1.5x | SPY bullish | SL=$26.33 | TP=$27.59,3738,26.75,1.0,,
24,2025-01-17T11:45:00-05:00,OKLO,SELL,Stop loss hit at $26.06 (SL: $26.33),3738,26.06,1.0,-2580.220000000005,-2.580413531014831
25,2025-01-21T11:20:00-05:00,OKLO,BUY,Breakout > $29.98 | ADX=48.2 | RSI=92.0 | Vol spike 1.5x | SPY bullish | SL=$29.78 | TP=$31.31,3293,30.29,1.0,,
26,2025-01-21T11:55:00-05:00,OKLO,SELL,Price $30.69 < 5-SMA $30.81,3293,30.69,1.0,1316.200000000007,1.3195520580931812
27,2025-01-21T15:25:00-05:00,OKLO,BUY,Breakout > $31.17 | ADX=29.4 | RSI=59.0 | Vol spike 1.5x | SPY bullish | SL=$30.99 | TP=$31.70,3198,31.23,1.0,,
28,2025-01-21T15:50:00-05:00,OKLO,SELL,Price $31.02 < 5-SMA $31.25,3198,31.02,1.0,-672.5800000000028,-0.6734248788530117
29,2025-01-22T09:30:00-05:00,OKLO,BUY,Breakout > $31.48 | ADX=26.0 | RSI=81.1 | Vol spike 1.5x | SPY bullish | SL=$32.64 | TP=$33.85,3021,33.04,1.0,,
30,2025-01-22T09:35:00-05:00,OKLO,SELL,Stop loss hit at $32.35 (SL: $32.64),3021,32.35,1.0,-2085.489999999993,-2.089358656488347
31,2025-01-22T10:30:00-05:00,OKLO,BUY,Breakout > $33.97 | ADX=40.0 | RSI=75.9 | Vol spike 1.5x | SPY bullish | SL=$33.42 | TP=$36.15,2901,34.33,1.0,,
32,2025-01-22T10:55:00-05:00,OKLO,SELL,Price $33.91 < 5-SMA $34.26,2901,33.91,1.0,-1219.4200000000048,-1.2244115586009534
33,2025-01-22T13:40:00-05:00,OKLO,BUY,Breakout > $34.48 | ADX=22.0 | RSI=64.7 | Vol spike 1.5x | SPY bullish | SL=$34.21 | TP=$35.26,2878,34.56,1.0,,
34,2025-01-22T13:50:00-05:00,OKLO,SELL,Stop loss hit at $33.99 (SL: $34.21),2878,33.99,1.0,-1641.4600000000007,-1.6502943557451757
35,2025-01-22T14:45:00-05:00,OKLO,BUY,Breakout > $34.67 | ADX=22.4 | RSI=60.7 | Vol spike 1.5x | SPY bullish | SL=$34.58 | TP=$35.60,2844,34.92,1.0,,
36,2025-01-22T14:50:00-05:00,OKLO,SELL,Price $34.62 < 5-SMA $34.68,2844,34.62,1.0,-854.2000000000121,-0.8601047914140276
37,2025-01-23T09:35:00-05:00,OKLO,BUY,Breakout > $34.95 | ADX=21.2 | RSI=67.5 | Vol spike 1.5x | SPY bullish | SL=$35.60 | TP=$37.36,2742,36.19,1.0,,
38,2025-01-23T09:45:00-05:00,OKLO,SELL,Market choppy (ADX=19.3),2742,35.94,1.0,-686.5,-0.6917993211599495
39,2025-01-23T11:35:00-05:00,OKLO,BUY,Breakout > $39.89 | ADX=41.6 | RSI=87.0 | Vol spike 1.5x | SPY bullish | SL=$39.05 | TP=$41.60,2485,39.9,1.0,,
40,2025-01-23T11:40:00-05:00,OKLO,SELL,Price $39.07 < 5-SMA $39.35,2485,39.07,1.0,-2063.5499999999956,-2.081188068883786
41,2025-01-24T09:30:00-05:00,OKLO,BUY,Breakout > $39.50 | ADX=33.0 | RSI=68.0 | Vol spike 1.5x | SPY bullish | SL=$39.81 | TP=$41.55,2450,40.39,1.0,,
42,2025-01-24T09:50:00-05:00,OKLO,SELL,Stop loss hit at $39.73 (SL: $39.81),2450,39.73,1.0,-1618.000000000009,-1.635061870619928
43,2025-01-24T10:10:00-05:00,OKLO,BUY,Breakout > $41.66 | ADX=26.1 | RSI=66.9 | Vol spike 1.5x | SPY bullish | SL=$40.59 | TP=$44.12,2365,41.77,1.0,,
44,2025-01-24T10:35:00-05:00,OKLO,SELL,Stop loss hit at $40.52 (SL: $40.59),2365,40.52,1.0,-2957.25,-2.99356039075972
45,2025-01-28T14:20:00-05:00,OKLO,BUY,Breakout > $32.39 | ADX=34.6 | RSI=68.7 | Vol spike 1.5x | SPY bullish | SL=$32.14 | TP=$33.20,3031,32.49,1.0,,
46,2025-01-28T14:55:00-05:00,OKLO,SELL,Take profit hit at $33.34 (TP: $33.20),3031,33.34,1.0,2575.3500000000045,2.6151475773468262
47,2025-01-28T15:50:00-05:00,OKLO,BUY,Breakout > $33.56 | ADX=47.8 | RSI=64.6 | Vol spike 1.5x | SPY bullish | SL=$33.37 | TP=$34.45,2928,33.73,1.0,,
48,2025-01-29T09:40:00-05:00,OKLO,SELL,Take profit hit at $35.59 (TP: $34.45),2928,35.59,1.0,5445.080000000019,5.513310525742397
49,2025-01-29T09:50:00-05:00,OKLO,BUY,Breakout > $35.65 | ADX=51.9 | RSI=83.1 | Vol spike 1.5x | SPY bullish | SL=$36.41 | TP=$38.46,2677,37.09,1.0,,
50,2025-01-29T10:25:00-05:00,OKLO,SELL,Price $37.23 < 5-SMA $37.56,2677,37.23,1.0,373.7799999999825,0.3764492889733055
51,2025-01-30T09:30:00-05:00,OKLO,BUY,Breakout > $35.94 | ADX=31.5 | RSI=76.6 | Vol spike 1.5x | SPY bullish | SL=$37.21 | TP=$38.99,2628,37.8,1.0,,
52,2025-01-30T09:45:00-05:00,OKLO,SELL,Take profit hit at $39.61 (TP: $38.99),2628,39.61,1.0,4755.680000000006,4.78730493640993
53,2025-01-30T14:45:00-05:00,OKLO,BUY,Breakout > $40.63 | ADX=22.6 | RSI=69.5 | Vol spike 1.5x | SPY bullish | SL=$40.60 | TP=$41.50,2440,40.9,1.0,,
54,2025-01-30T15:15:00-05:00,OKLO,SELL,Take profit hit at $41.53 (TP: $41.50),2440,41.53,1.0,1536.2000000000062,1.5393248294036956
55,2025-02-03T14:10:00-05:00,OKLO,BUY,Breakout > $45.00 | ADX=35.9 | RSI=78.9 | Vol spike 1.5x | SPY bullish | SL=$45.28 | TP=$46.59,2186,45.72,1.0,,
56,2025-02-03T14:55:00-05:00,OKLO,SELL,Take profit hit at $46.79 (TP: $46.59),2186,46.79,1.0,2338.0200000000004,2.3393084911169075
57,2025-02-05T09:30:00-05:00,OKLO,BUY,Breakout > $46.99 | ADX=34.0 | RSI=84.8 | Vol spike 1.5x | SPY bullish | SL=$47.20 | TP=$48.53,2103,47.64,1.0,,
58,2025-02-05T09:35:00-05:00,OKLO,SELL,Stop loss hit at $46.51 (SL: $47.20),2103,46.51,1.0,-2377.3900000000053,-2.3729307884623267
59,2025-02-05T10:40:00-05:00,OKLO,BUY,Breakout > $47.90 | ADX=51.7 | RSI=61.9 | Vol spike 1.5x | SPY bullish | SL=$48.32 | TP=$51.11,2029,49.25,1.0,,
60,2025-02-05T10:55:00-05:00,OKLO,SELL,Take profit hit at $52.19 (TP: $51.11),2029,52.19,1.0,5964.259999999996,5.968482701511315
61,2025-02-05T14:15:00-05:00,OKLO,BUY,Breakout > $50.46 | ADX=23.9 | RSI=82.6 | Vol spike 1.5x | SPY bullish | SL=$50.45 | TP=$51.86,1974,50.92,1.0,,
62,2025-02-05T14:40:00-05:00,OKLO,SELL,Price $50.68 < 5-SMA $50.69,1974,50.68,1.0,-474.7600000000039,-0.47231773943294403
63,2025-02-06T09:30:00-05:00,OKLO,BUY,Breakout > $50.97 | ADX=43.3 | RSI=61.8 | Vol spike 1.5x | SPY bullish | SL=$51.28 | TP=$53.29,1934,51.95,1.0,,
64,2025-02-06T09:35:00-05:00,OKLO,SELL,Stop loss hit at $50.06 (SL: $51.28),1934,50.06,1.0,-3656.260000000001,-3.639072659827635
65,2025-02-07T09:45:00-05:00,OKLO,BUY,Breakout > $56.94 | ADX=49.4 | RSI=98.6 | Vol spike 1.5x | SPY bullish | SL=$57.01 | TP=$60.42,1722,58.15,1.0,,
66,2025-02-07T10:00:00-05:00,OKLO,SELL,Stop loss hit at $55.97 (SL: $57.01),1722,55.97,1.0,-3754.9599999999996,-3.749886403695799
67,2025-02-10T10:35:00-05:00,OKLO,BUY,Breakout > $56.10 | ADX=26.9 | RSI=56.1 | Vol spike 1.5x | SPY bullish | SL=$55.17 | TP=$58.35,1774,56.23,1.0,,
